Attraction ID,Parent Site ID,Site Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Location Guide (English) 'NULLABLE',Location Guide (Localized) 'NULLABLE',Type,Historical Periods (comma-separated),Latitude 'NULLABLE',Longitude 'NULLABLE',Is Featured?
ATTR-036,SITE-008,Colored Canyon,Colored Sandstone Formations,تشكيلات الصخور الملونة,"Sandstone and granite walls displaying stunning natural color gradients including red, yellow, and purple.",جدران من الصخور الرملية والجرانيتية التي تظهر بتدرجات ألوان طبيعية مذهلة تشمل الأحمر، الأصفر، والأرجواني.,Along the canyon path,على طول مسار الوادي,nature,Unknown,28.71354474,34.24431771,TRUE
ATTR-037,SITE-008,Colored Canyon,The Narrow Slot,الممر الضيق (الخانق),"A very narrow passage between towering mountains, offering adventurers a unique trekking experience through geological slits.",ممر ضيق جداً بين الجبال شاهقة الارتفاع، يمنح المغامرين تجربة فريدة للمشي وسط التكوينات الجيولوجية الضيقة.,Mid-way through the trek,منتصف مسار المشي,nature,Unknown,28.71354474,34.24431771,TRUE
ATTR-038,SITE-008,Colored Canyon,Natural Wall Engravings,النقوش الجدارية الطبيعية,"Natural swirls and engravings in the rocks formed over millions of years by erosion, resembling abstract paintings.",نقوش وتعرجات طبيعية في الصخور تكونت عبر ملايين السنين بسبب عوامل التعرية، تشبه اللوحات الفنية التجريدية.,Canyon side walls,جدران الأخدود الجانبية,nature,Unknown,28.71354474,34.24431771,FALSE
ATTR-039,SITE-008,Colored Canyon,The Panoramic Summit,قمة الوادي (الإطلالة),A high vantage point at the start of the trail providing a full view of the canyon and the surrounding mountainous area.,نقطة مرتفعة في بداية المسار توفر رؤية كاملة للأخدود والمنطقة الجبلية المحيطة به من الأعلى.,The trip starting point,نقطة بداية الرحلة,nature,Unknown,28.71354474,34.24431771,FALSE
ATTR-040,SITE-051,El Mina Masjid,Twin Minarets,المآذن التوأم,"Two towering minarets rising up to 40 meters, featuring a contemporary Islamic design that decorates the Hurghada skyline.",مئذنتان شاهقتان بارتفاع يصل لـ 40 متراً، تتميزان بتصميم إسلامي معاصر يزين خط أفق مدينة الغردقة.,Exterior Mosque Facade,الواجهة الخارجية للمسجد,Mosque,Modern Era,27.23098126,33.84324656,TRUE
ATTR-041,SITE-051,El Mina Masjid,The Grand Ornamented Dome,القبة المركزية المزخرفة,"A massive central dome decorated with intricate Islamic patterns inside and out, reflecting the grandeur of Islamic art.",قبة ضخمة تتوسط المسجد، مزينة بنقوش وزخارف إسلامية دقيقة من الداخل والخارج، وتعكس روعة الفن الإسلامي.,Main Prayer Hall Center,وسط قاعة الصلاة الرئيسية,Mosque,Modern Era,27.23098126,33.84324656,TRUE
ATTR-042,SITE-051,El Mina Masjid,Crystal Chandeliers,الثريات والنجف الكريستالي,"A collection of luxurious crystal chandeliers hanging from the domes, providing the prayer hall with warm, majestic lighting.",مجموعة من النجف الكريستالي الفاخر الذي يتدلى من القباب، مما يمنح قاعة الصلاة إضاءة دافئة ومهيبة.,Mosque Ceiling (Interior),سقف المسجد (الداخل),Mosque,Modern Era,27.23098126,33.84324656,FALSE
ATTR-043,SITE-051,El Mina Masjid,Islamic Cultural Center,المركز الإسلامي الثقافي,"A center dedicated to introducing visitors to Islamic culture in multiple languages, featuring a library and lecture halls.",مركز مخصص لتعريف السياح والزوار بالثقافة الإسلامية بعدة لغات، ويضم مكتبة وقاعة محاضرات.,Side Wing of the Mosque,الجناح الجانبي للمسجد,Mosque,Modern Era,27.23098126,33.84324656,TRUE
ATTR-044,SITE-086,The White Monastery,The Ancient Sanctuary,الهيكل الأثري الرئيسي,"Features a semi-circular design with marble columns and decorated capitals, serving as the spiritual and historic heart of the monastery.",يتميز بتصميم نصف دائري  يضم أعمدة رخامية وتيجان مزخرفة، ويعتبر قلب الدير النابض بالصلاة والتاريخ.,Eastern side of the ancient church,الجهة الشرقية من الكنيسة الأثرية,Church,Late Antique Early Coptic,26.53477657,31.64564645,TRUE
ATTR-045,SITE-086,The White Monastery,Massive Limestone Walls,الأسوار الجيرية الضخمة,"Massive walls built from white limestone reclaimed from Pharaonic temples, resembling the grand architecture of Ancient Egypt.",أسوار شاهقة مبنية من الحجر الجيري الأبيض المستخرج من معابد فرعونية، تشبه في ضخامتها تصميم المعابد المصرية القديمة.,Exterior Monastery Facade,الواجهة الخارجية للدير,Church,Late Antique Early Coptic,26.53477657,31.64564645,TRUE
ATTR-046,SITE-086,The White Monastery,Antique Frescoes & Murals,الجداريات والرسومات الأثرية,"Remains of rare frescoes and murals on ceilings and domes dating back to the Middle Ages, depicting religious scenes in Coptic art.",بقايا لوحات زيتية وجدارية نادرة على الأسقف والقباب تعود للعصور الوسطى، تصور مشاهد دينية بفن قبطي دقيق.,Domes and Semi-circular apses,القباب والأنصاف الدائرية للعنابر,Church,Late Antique Early Coptic,26.53477657,31.64564645,FALSE
ATTR-047,SITE-086,The White Monastery,Historic Manuscripts Library,مكتبة المخطوطات التاريخية,"Historically famous for housing one of the world's largest collections of Coptic manuscripts, detailing the history of monasticism.",يشتهر الدير تاريخياً بامتلاكه واحدة من أكبر مجموعات المخطوطات القبطية في العالم، والتي تحكي تاريخ الرهبنة.,Monastery Annex (Museum area),ملحق الدير (منطقة المتحف),MuseumHall,Late Antique Early Coptic,26.53477657,31.64564645,TRUE
ATTR-196,SITE-006,Mount Sinai,Mount Sinai Summit,قمة جبل موسى,"The highest point of the trek, offering a stunning panoramic view of the Sinai mountains; the traditional site where Moses received the Ten Commandments.",أعلى نقطة في المسار، توفر مشهداً بانورامياً مذهلاً لسلسلة جبال سيناء، وهي الموقع التقليدي الذي تلقى فيه النبي موسى الوصايا العشر.,Highest point in Catherine range,أعلى نقطة في جبال كاترين,nature,PreDynastic,28.53934716,33.97492246,TRUE
ATTR-197,SITE-006,Mount Sinai,The Path of Repentance,طريق درجات التوبة,"A path of 3,750 stone steps hand-carved by monks, representing the steeper and more historical route to the summit.",طريق يتكون من 3750 درجة حجرية منحوتة يدوياً بواسطة الرهبان، وهو المسار الأصعب والأكثر إثارة وتاريخاً للوصول للقمة.,The steep/shortcut route,المسار المختصر (الوعر),historical,MiddleKingdom,28.53934716,33.97492246,TRUE
ATTR-198,SITE-006,Mount Sinai,Summit Chapel & Mosque,كنيسة وجامع القمة,"The summit houses a small Greek Orthodox chapel and a simple mosque side-by-side, symbolizing historical tolerance and sanctity.",يضم قمة الجبل كنيسة يونانية أرثوذكسية صغيرة وجامعاً بسيطاً جنباً إلى جنب، في رمزية تاريخية للتسامح والقدسية.,Directly on the summit,قمة الجبل مباشرة,Religious,Modern Era,28.53934716,33.97492246,FALSE
ATTR-199,SITE-006,Mount Sinai,Elijah's Basin,فرش إيليا (منطقة الراحة),"A mountain basin featuring an ancient cypress tree and a well, serving as a peaceful resting point before the final ascent.",منخفض جبلي يضم شجرة سرو معمرة وبئراً للمياه، تعتبر محطة للاستراحة قبل الصعود النهائي للقمة وتتميز بهدوء تام.,750 steps before the peak,قبل القمة بـ 750 درجة,nature,PreDynastic,28.53934716,33.97492246,FALSE
ATTR-200,SITE-002,Saint Catherine's Monastery,The Burning Bush,شجرة العليقة المقدسة,"The only shrub of its kind, believed to be the site where God spoke to Moses; it is considered the most sacred spot in the monastery.",الشجرة الوحيدة من نوعها في العالم، حيث يُعتقد أنها الموقع الذي كلم فيه الله النبي موسى، وتعتبر أقدس مكان في الدير.,Inner Courtyard (Behind the church),فناء الدير الداخلي (خلف الكنيسة),Religious,PreDynastic,28.55560903,33.97703826,TRUE
ATTR-201,SITE-002,Saint Catherine's Monastery,Basilica of the Transfiguration,كنيسة التجلي الأثرية,"A grand basilica built by Emperor Justinian, featuring the famous ""Transfiguration"" mosaic, one of the rarest Byzantine artworks.","كنيسة ضخمة بناها الإمبراطور جستنيان، تضم فسيفساء ""التجلي"" الشهيرة التي تعد من أندر وأجمل الفنون البيزنطية في العالم.",Center of the Monastery complex,وسط مجمع الدير,Church,PreDynastic,28.55560903,33.97703826,TRUE
ATTR-202,SITE-002,Saint Catherine's Monastery,St. Catherine Library,مكتبة دير سانت كاترين,"The second most important manuscript library after the Vatican, housing thousands of rare Greek, Arabic, and Syriac texts.",ثاني أهم مكتبة للمخطوطات بعد الفاتيكان، تضم آلاف المخطوطات النادرة باللغات اليونانية، العربية، والسريانية.,Southern Wing of the monastery,الجناح الجنوبي للدير,Religious,PreDynastic,28.55560903,33.97703826,TRUE
ATTR-203,SITE-002,Saint Catherine's Monastery,Ancient Olive Press & Garden,معصرة الزيتون القديمة,"An area featuring an ancient olive press and a lush green garden amidst the barren mountains, reflecting centuries of monastic life.",منطقة تضم معصرة زيتون أثرية وحديقة خضراء وسط الجبال القاحلة، تعكس حياة الرهبان والاكتفاء الذاتي منذ قرون.,Northern side of the walls,الجانب الشمالي من سور الدير,Religious,PreDynastic,28.55560903,33.97703826,FALSE
ATTR-204,SITE-043,El Lesan Area,El Lessan Lighthouse,فنار اللسان,"A historic lighthouse located at the tip of the peninsula, designed to guide ships and serving as the most famous landmark of Ras El Bar.",فنار تاريخي يقع في نهاية لسان الأرض داخل البحر، صُمم لإرشاد السفن ويعتبر الرمز الأشهر لمدينة رأس البر.,The furthest point of El Lessan,أقصى نقطة في اللسان,Other,Modern Era,31.52748445,31.84375691,TRUE
ATTR-205,SITE-043,El Lesan Area,El Lessan Promenade,ممشى اللسان السياحي,"A wide stone-paved walkway surrounding the Lessan area, offering stunning views and benches for sunset watching and fishing.",ممشى عريض مرصوف بالحجر يحيط بمنطقة اللسان، يوفر إطلالات ساحرة ومقاعد للاستمتاع بمنظر الغروب وصيد الأسماك.,The waterfront & Nile front,الواجهة البحرية والنيلية للمنطقة,Entertainment,Modern Era,31.52748445,31.84375691,TRUE
ATTR-206,SITE-043,El Lesan Area,The Meeting Point (Nile & Sea),مجمع البحرين (نقطة الالتقاء),"A unique spot where the fresh Nile water meets the salty Mediterranean, clearly visible behind the concrete wave breakers.",نقطة فريدة حيث تتلاقى مياه النيل العذبة مع مياه البحر المالحة، وتظهر بوضوح خلف حاجز الأمواج الخرساني.,The end of the rocky wave breakers,نهاية الحاجز الصخري والخرساني,nature,Modern Era,31.52748445,31.84375691,TRUE
ATTR-207,SITE-221,Tanta Museum,Ancient Coin Collection,مجموعة العملات القديمة,A large display of ancient coins representing Egypt’s historic eras and some of the museum’s best-known holdings.,عرض كبير لعملات قديمة تمثل عصور مصر التاريخية، وهي من أشهر مقتنيات المتحف.,Main coin gallery inside the museum.,قاعة العملات الرئيسية داخل المتحف.,MuseumHall,"OldKingdom, Roman, Rashidun",30.789,31,TRUE
ATTR-208,SITE-221,Tanta Museum,Tomb Display with False Door,عرض المقبرة والباب الوهمي,"A funerary display featuring a false door and offering table, used to explain elite burial customs in ancient Egypt.",عرض جنائزي يضم بابًا وهميًا ومائدة قرابين لشرح عادات الدفن لدى المصريين القدماء.,Funerary section / burial-themed display.,قسم الجنائز / العرض الخاص بعادات الدفن.,MuseumHall,OldKingdom,30.789,31,FALSE
ATTR-209,SITE-221,Tanta Museum,Canopic Jars and Mummy Coffin,الأواني الكانوبية والتابوت الموميائي,"A striking funerary grouping that includes canopic jars, a coffin with a mummy, and wall paintings.",مجموعة جنائزية مميزة تضم أواني كانوبية وتابوتًا مع مومياء ورسومات جدارية.,Near the funerary exhibits in the museum display halls.,قرب المعروضات الجنائزية في قاعات العرض.,MuseumHall,OldKingdom,30.789,31,FALSE
ATTR-210,SITE-244,Rommel Cave Museum,Rommel's Leather Coat,معطف روميل الجلدي,One of the museum’s most recognizable personal belongings of General Erwin Rommel.,من أشهر المتعلقات الشخصية للجنرال إرفين روميل المعروضة في المتحف.,Inside the main Rommel memorabilia display.,داخل عرض مقتنيات روميل الرئيسية.,historical,Modern Era,31.36,27.24,TRUE
ATTR-211,SITE-244,Rommel Cave Museum,Binoculars and Compass,المنظار والبوصلة,A small but iconic set of field items associated with Rommel’s wartime command.,مجموعة ميدانية بارزة مرتبطة بقيادته أثناء الحرب.,Displayed with the general’s personal effects.,معروضة ضمن متعلقات الجنرال الشخصية.,historical,Modern Era,31.36,27.24,TRUE
ATTR-212,SITE-244,Rommel Cave Museum,Signed Battle Maps,خرائط موقعة بخط اليد,"Maps with Rommel’s handwritten notes, including military and battle planning material.",خرائط تحمل ملاحظات روميل بخط يده، وتشمل مواد تخطيط عسكري والمعارك.,Map display / war planning section.,قسم عرض الخرائط / التخطيط الحربي.,historical,Modern Era,31.36,27.24,FALSE
ATTR-213,SITE-249,Matrouh Archaeology Museum,Statue of Ramses II,تمثال رمسيس الثاني,Upper part of a monumental statue of Ramses II from the 19th Dynasty representing Egypt's control over western borders,الجزء العلوي من تمثال ضخم لرمسيس الثاني من الأسرة التاسعة عشرة يمثل سيطرة مصر على الحدود الغربية,Ground floor main exhibition hall,قاعة العرض الرئيسية بالطابق الأرضي,Statue,PreDynastic,31.35,27.23,TRUE
ATTR-214,SITE-249,Matrouh Archaeology Museum,Prehistoric Flint Tools,أدوات صوانية ما قبل التاريخ,Prehistoric flint knives and tools that show early settlement and daily life in the region.,سكاكين وأدوات صوانية ما قبل التاريخ تُظهر الاستيطان والحياة اليومية المبكرة في المنطقة.,Prehistory section on the first floor.,قسم ما قبل التاريخ في الطابق الأول.,historical,PreDynastic,31.35,27.23,TRUE
ATTR-215,SITE-249,Matrouh Archaeology Museum,Ottoman Grain Grinder,رحاية عثمانية لطحن الحبوب,A traditional stone grain grinder that represents later everyday life in Matrouh.,أداة حجرية تقليدية لطحن الحبوب تمثل الحياة اليومية المتأخرة في مطروح.,Domestic life / daily-use objects display.,عرض أدوات الحياة اليومية / المنزلية.,historical,Ottoman,31.35,27.23,FALSE
ATTR-216,SITE-263,Nadura Temple ,Roman Fortification Walls,جدران التحصين الرومانية,Ten-meter-high defensive walls that enclosed the temple creating a strategic lookout fortress overlooking Kharga Oasis,جدران دفاعية بارتفاع عشرة أمتار أحاطت بالمعبد لإنشاء حصن مراقبة استراتيجي يطل على واحة الخارجة,Visible upon approaching the hilltop temple site,مرئية عند الاقتراب من موقع المعبد على قمة التل,Ruins,Roman,25.469,30.5642,TRUE
ATTR-217,SITE-263,Nadura Temple ,Female Musicians Relief Paintings,نقوش لوحات الموسيقيات,Ancient wall reliefs depicting female musicians playing percussion instruments and sistra indicating goddess worship,نقوش جدارية قديمة تصور موسيقيات يعزفن على آلات إيقاعية وصاجات تشير إلى عبادة الآلهة,Found on interior temple walls in the sanctuary area,موجود على الجدران الداخلية للمعبد في منطقة القدس,Ruins,Roman,25.469,30.5642,TRUE
ATTR-218,SITE-263,Nadura Temple ,Sandstone Temple Gate,البوابة الحجرية الرملية للمعبد,Southern entrance gate made of sandstone leading to the courtyard with three temple rooms dedicated to Amun Mut and other deities,بوابة المدخل الجنوبي المصنوعة من الحجر الرملي المؤدية إلى الفناء مع ثلاث غرف معبد مخصصة لآمون وموت وآلهة أخرى,Southern wall of the temple complex,الجدار الجنوبي لمجمع المعبد,Ruins,Roman,25.469,30.5642,FALSE
ATTR-219,SITE-250,Shali Fortress,The Old Mosque with Chimney Minaret,المسجد القديم بمئذنة المدخنة,The oldest building in Shali dating to 1203 AD featuring Africa's oldest mud-built mosque with distinctive chimney-shaped minaret,أقدم مبنى في شالي يعود تاريخه إلى 1203 م ويضم أقدم مسجد مبني من الطين في أفريقيا بمئذنة مميزة على شكل مدخنة,Located at the entrance pathway above the fortress entrance,يقع عند الممر المدخل فوق مدخل القلعة,Mosque,Ayyubid,29.2,25.52,TRUE
ATTR-220,SITE-250,Shali Fortress,Kershef Salt-Mud Brick Architecture,عمارة الطوب الملحي الطيني (الكرشيف),Unique construction using kershef material - mixture of salt rocks from nearby lakes mixed with clay creating natural insulation,بناء فريد باستخدام مادة الكرشيف - خليط من صخور الملح من البحيرات القريبة ممزوجة بالطين لخلق عزل طبيعي,Visible throughout the entire fortress structure,مرئي في جميع أنحاء هيكل القلعة بالكامل,Fortress,Ayyubid,29.2,25.52,TRUE
ATTR-221,SITE-250,Shali Fortress,Panoramic Viewpoint at Summit,نقطة المشاهدة البانورامية بالقمة,The highest point of the fortress offering 360-degree views of Siwa Oasis palm groves salt lakes and surrounding desert,أعلى نقطة في القلعة توفر مناظر 360 درجة لبساتين النخيل في واحة سيوة والبحيرات المالحة والصحراء المحيطة,Climb to the top level via restored pathways,اصعد إلى المستوى العلوي عبر الممرات المرممة,Fortress,Ayyubid,29.2,25.52,FALSE
ATTR-225,,Greco-Roman Museum,Tanagra Figurines Hall,قاعة تماثيل تاناجرا,"A dedicated hall showcasing delicate terracotta figurines from Tanagra in Greece, reflecting everyday Hellenistic life in Alexandria.",قاعة مخصصة لعرض تماثيل تاناجرا الرقيقة المصنوعة من الطين المحروق، والتي تعكس الحياة اليومية في العصر الهلنستي.,Located on the ground floor of the Greco-Roman Museum in central Alexandria.,تقع في الطابق الأرضي بمتحف الآثار اليونانية الرومانية في وسط الإسكندرية.,MuseumHall,"Ptolemaic, Roman",31.1956,29.9092,FALSE
ATTR-226,SITE-313,Greco-Roman Museum,Greco-Roman Sculptures Gallery,قاعة المنحوتات اليونانية الرومانية,A grand gallery housing marble and limestone sculptures blending Greek artistic tradition with Egyptian religious iconography.,قاعة فخمة تضم منحوتات من الرخام والحجر الجيري تمزج بين الفن اليوناني والرمزية الدينية المصرية.,"Central wing of the Greco-Roman Museum, ground floor.",الجناح المركزي بمتحف الآثار اليونانية الرومانية، الطابق الأرضي.,MuseumHall,"Ptolemaic, Roman",31.1957,29.9093,TRUE
ATTR-227,SITE-313,Greco-Roman Museum,Coins and Medals Collection,مجموعة العملات والميداليات,"An extensive numismatic collection featuring coins minted during Ptolemaic, Roman, and Byzantine rule of Alexandria.",مجموعة نقدية واسعة تضم عملات سُكَّت في عهود البطالمة والرومان والبيزنطيين في الإسكندرية.,Upper floor of the Greco-Roman Museum in the eastern wing.,الطابق العلوي بمتحف الآثار اليونانية الرومانية في الجناح الشرقي.,MuseumHall,"Ptolemaic, Roman, Byzantine",31.1956,29.9091,FALSE
ATTR-228,SITE-313,Greco-Roman Museum,Mummies and Funerary Objects Hall,قاعة المومياوات ومقتنيات الدفن,A compelling hall displaying mummified remains and burial artifacts that illustrate funerary practices of the Greco-Roman period in Egypt.,قاعة رائعة تعرض المومياوات ومقتنيات الدفن التي توضح ممارسات الدفن في العصر اليوناني الروماني بمصر.,Located in the northern section of the Greco-Roman Museum.,تقع في القسم الشمالي بمتحف الآثار اليونانية الرومانية.,MuseumHall,"Ptolemaic, Roman",31.1955,29.909,TRUE
ATTR-229,SITE-313,Greco-Roman Museum,Papyrus and Inscriptions Room,غرفة البرديات والنقوش,"A specialized room containing rare papyrus documents and stone inscriptions in Greek, Latin, and Demotic scripts.",غرفة متخصصة تحتوي على وثائق بردية نادرة ونقوش حجرية باليونانية واللاتينية والديموطيقية.,Small dedicated room on the upper level of the museum.,غرفة صغيرة متخصصة في الطابق العلوي من المتحف.,MuseumHall,"Ptolemaic, Roman",31.1956,29.9092,FALSE
ATTR-230,SITE-313,Greco-Roman Museum,Serapis and Egyptian Deities Gallery,قاعة سيرابيس والآلهة المصرية,A gallery dedicated to the syncretic deity Serapis and related Egyptian gods worshipped during the Hellenistic and Roman periods.,قاعة مخصصة للإله سيرابيس المزدوج والآلهة المصرية المرتبطة به والتي كانت معبودة في العصرين الهلنستي والروماني.,"Western wing of the Greco-Roman Museum, ground floor.",الجناح الغربي بمتحف الآثار اليونانية الرومانية، الطابق الأرضي.,MuseumHall,"Ptolemaic, Roman",31.1957,29.909,FALSE
ATTR-231,SITE-314,Qaitbay Citadel,Main Fortress Tower,البرج الرئيسي للقلعة,"The towering central keep of Qaitbay Citadel, built in 1477 on the legendary site of the Lighthouse of Alexandria, offering panoramic sea views.",البرج المركزي الشاهق لقلعة قايتباي، المبنية عام 1477 على الموقع الأسطوري لمنارة الإسكندرية، ويوفر إطلالات بانورامية على البحر.,Center of Qaitbay Citadel on the tip of the Pharos peninsula.,مركز قلعة قايتباي عند طرف شبه جزيرة فاروس.,Fortress,Islamic,31.2138,29.8853,TRUE
ATTR-232,SITE-314,Qaitbay Citadel,Naval Museum,المتحف البحري,"A maritime museum within the citadel grounds displaying models of historic vessels, naval weapons, and artifacts from Egypt's seafaring history.",متحف بحري داخل أسوار القلعة يعرض نماذج للسفن التاريخية والأسلحة البحرية وقطعاً من تاريخ مصر البحري.,Located in the eastern annex building inside Qaitbay Citadel.,يقع في المبنى الملحق الشرقي داخل قلعة قايتباي.,MuseumHall,"Islamic, Modern Era",31.2139,29.8855,FALSE
ATTR-233,SITE-314,Qaitbay Citadel,Sea Defense Walls,أسوار الدفاع البحرية,"Massive stone ramparts encircling the citadel, designed to protect Alexandria's harbor from naval invasions during the Mamluk and Ottoman periods.",أسوار حجرية ضخمة تحيط بالقلعة، صُمِّمت لحماية ميناء الإسكندرية من الغزوات البحرية في العهدين المملوكي والعثماني.,Surrounding the outer perimeter of Qaitbay Citadel along the waterfront.,تحيط بالمحيط الخارجي لقلعة قايتباي على طول الواجهة البحرية.,Fortress,"Islamic, Ottoman",31.2137,29.8851,FALSE
ATTR-234,SITE-314,Qaitbay Citadel,Inner Courtyard,الفناء الداخلي,"The open central courtyard of Qaitbay Citadel, framed by historic stone walls and offering a tranquil space for visitors within the fortress complex.",الفناء المركزي المفتوح لقلعة قايتباي، المحاط بالأسوار الحجرية التاريخية، ويوفر مساحة هادئة للزوار داخل مجمع القلعة.,"Ground level at the heart of Qaitbay Citadel, accessible from the main entrance.",المستوى الأرضي في قلب قلعة قايتباي، ويمكن الوصول إليه من المدخل الرئيسي.,Fortress,Islamic,31.2138,29.8852,FALSE
ATTR-235,SITE-314,Qaitbay Citadel,Mediterranean Panoramic Viewpoint,نقطة الإطلالة البانورامية على البحر المتوسط,A breathtaking vantage point atop Qaitbay Citadel offering sweeping views of the Mediterranean Sea and Alexandria's historic Eastern Harbor.,نقطة مشاهدة خلابة فوق قلعة قايتباي توفر إطلالات واسعة على البحر المتوسط والميناء الشرقي التاريخي للإسكندرية.,Upper battlements of the main tower of Qaitbay Citadel.,الشرفات العلوية للبرج الرئيسي في قلعة قايتباي.,Fortress,Islamic,31.214,29.8854,TRUE
ATTR-236,SITE-314,Qaitbay Citadel,Lighthouse of Alexandria Ruins Site,موقع أطلال منارة الإسكندرية,"The legendary site of the ancient Lighthouse of Alexandria, one of the Seven Wonders of the World, whose foundation stones were incorporated into Qaitbay Citadel.",الموقع الأسطوري لمنارة الإسكندرية القديمة، إحدى عجائب الدنيا السبع، والتي دُمِجت أحجار أساساتها في بناء قلعة قايتباي.,Base of the main tower inside Qaitbay Citadel on Pharos Island.,قاعدة البرج الرئيسي داخل قلعة قايتباي على جزيرة فاروس.,Ruins,"PreDynastic, Ptolemaic, Islamic",31.2138,29.8853,TRUE
ATTR-237,SITE-315,Royal Jewelry Museum Alexandria,Royal Crown Collection,مجموعة التيجان الملكية,A dazzling collection of royal crowns and tiaras worn by the queens and princesses of the Egyptian royal family during the 19th and 20th centuries.,مجموعة رائعة من التيجان الملكية التي ارتدتها ملكات وأميرات الأسرة المالكة المصرية خلال القرنين التاسع عشر والعشرين.,Main display hall on the ground floor of the Royal Jewelry Museum.,قاعة العرض الرئيسية في الطابق الأرضي بمتحف المجوهرات الملكية.,MuseumHall,Modern Era,31.2101,29.9468,TRUE
ATTR-238,SITE-315,Royal Jewelry Museum Alexandria,Mohamed Ali Dynasty Jewelry Hall,قاعة مجوهرات أسرة محمد علي,"An elaborate hall showcasing the magnificent jewelry commissioned by the rulers of the Mohamed Ali Dynasty, reflecting Ottoman and European influences.",قاعة فخمة تعرض المجوهرات الرائعة التي أمر بصنعها حكام أسرة محمد علي، وتعكس التأثيرات العثمانية والأوروبية.,"First floor of the Royal Jewelry Museum, central gallery.",الطابق الأول بمتحف المجوهرات الملكية، القاعة المركزية.,MuseumHall,Modern Era,31.2102,29.9469,TRUE
ATTR-239,SITE-315,Royal Jewelry Museum Alexandria,Farouk and Farida Wedding Jewelry Display,معرض مجوهرات زفاف فاروق وفريدة,A romantic display of the exquisite jewelry exchanged during the royal wedding of King Farouk and Queen Farida in 1938.,معرض رومانسي للمجوهرات الرائعة المتبادلة خلال حفل زفاف الملك فاروق والملكة فريدة عام 1938.,Upper floor of the Royal Jewelry Museum in a dedicated bridal showcase room.,الطابق العلوي بمتحف المجوهرات الملكية في غرفة العرض العروسي المخصصة.,MuseumHall,Modern Era,31.21,29.947,FALSE
ATTR-240,SITE-315,Royal Jewelry Museum Alexandria,Royal Decorations and Medals Room,غرفة الأوسمة والنياشين الملكية,"A specialized room displaying the ceremonial orders, decorations, and military medals awarded within the Egyptian royal court.",غرفة متخصصة تعرض الأوسمة والنياشين والميداليات العسكرية الممنوحة داخل البلاط الملكي المصري.,Side gallery on the second floor of the Royal Jewelry Museum.,قاعة جانبية في الطابق الثاني بمتحف المجوهرات الملكية.,MuseumHall,Modern Era,31.2101,29.9467,FALSE
ATTR-241,SITE-315,Royal Jewelry Museum Alexandria,Enameled and Diamond Jewelry Gallery,قاعة المجوهرات المينائية والماسية,A brilliant gallery exhibiting intricately enameled pieces and diamond-encrusted royal jewelry of exceptional craftsmanship.,قاعة رائعة تعرض قطعاً مطلية بالمينا بشكل معقد ومجوهرات ملكية مرصعة بالماس بحرفية استثنائية.,Ground floor east wing of the Royal Jewelry Museum.,الجناح الشرقي بالطابق الأرضي من متحف المجوهرات الملكية.,MuseumHall,Modern Era,31.2103,29.9468,TRUE
ATTR-242,SITE-316,Alexandria Bibliotheca,Main Reading Hall,قاعة القراءة الرئيسية,"The iconic tilted reading hall of the Bibliotheca Alexandrina, spanning 11 cascading levels and accommodating over 2,000 readers under a vast sloping skylight.",قاعة القراءة المميزة ذات السقف المائل في مكتبة الإسكندرية، تمتد على 11 مستوى متتالياً وتستوعب أكثر من 2000 قارئ تحت ضوء النهار الواسع.,"Main building of Bibliotheca Alexandrina on the Corniche road, central reading floor.",المبنى الرئيسي لمكتبة الإسكندرية على طريق الكورنيش، طابق القراءة المركزي.,MuseumHall,Modern Era,31.2089,29.9092,TRUE
ATTR-243,SITE-316,Alexandria Bibliotheca,Manuscripts Museum,متحف المخطوطات,"A museum preserving and displaying rare Arabic, Persian, and other manuscripts, showcasing the legacy of Islamic scholarship and calligraphy.",متحف يحفظ ويعرض المخطوطات النادرة العربية والفارسية وغيرها، ويُبرز إرث العلوم الإسلامية والخط العربي.,Basement level of the Bibliotheca Alexandrina main building.,الطابق السفلي بالمبنى الرئيسي لمكتبة الإسكندرية.,MuseumHall,"Islamic, Modern Era",31.2088,29.9091,FALSE
ATTR-244,SITE-316,Alexandria Bibliotheca,Antiquities Museum,متحف الآثار,"A compact but rich museum within the Bibliotheca complex displaying ancient Egyptian, Greek, and Roman artifacts excavated from Alexandria.",متحف صغير لكنه غني داخل مجمع المكتبة، يعرض الآثار المصرية والإغريقية والرومانية القديمة المكتشفة في الإسكندرية.,"Ground floor of the Bibliotheca Alexandrina, west annex.",الطابق الأرضي لمكتبة الإسكندرية، الملحق الغربي.,MuseumHall,"PreDynastic, Ptolemaic, Roman",31.209,29.909,FALSE
ATTR-245,SITE-316,Alexandria Bibliotheca,Planetarium,قبة الفلك,A state-of-the-art digital planetarium offering immersive astronomical shows that trace the history of the cosmos and Egypt's ancient astronomical knowledge.,قبة فلكية رقمية متطورة تقدم عروضاً فلكية غامرة تتتبع تاريخ الكون ومعرفة مصر القديمة بعلم الفلك.,Separate spherical building within the Bibliotheca Alexandrina complex grounds.,مبنى كروي منفصل داخل حرم مجمع مكتبة الإسكندرية.,historical,Modern Era,31.2091,29.9093,TRUE
