Sponsor ID,Title (English),Title (Localized),Description (English),Description (Localized),Address (English),Address (Localized),Status,Type,Tier,Latitude,Longitude,Start Date,End Date,Website URL 'NULLABLE',Contact Phone 'NULLABLE',Contact Email 'NULLABLE'
SPON-049,Kadmar Travel Egypt,كادمار ترافيل مصر,"A Lufthansa City Center-affiliated travel agency in Alexandria offering premium tours, visa services, and corporate travel.",وكالة سفر تابعة لمراكز مدينة لوفتهانزا في الإسكندرية تقدم جولات متميزة وخدمات التأشيرة والسفر للشركات.,"Sama Towers, Tower B, Semouha, Alexandria Governorate",برج سما، البرج ب، سموحة، محافظة الإسكندرية,Active,TravelAgency,Gold,31.2083,29.9276,01/06/2026,31/12/2026,,+2034843872,
SPON-050,Alex City Travel,أليكس سيتي ترافيل,An Alexandria-based tour operator with over 23 years of experience offering immersive Egypt tours and shore excursions.,مشغل سياحي مقره الإسكندرية يمتلك أكثر من 23 عاماً من الخبرة في تقديم جولات مصر والرحلات البرية.,"Downtown Alexandria, Alexandria Governorate",وسط مدينة الإسكندرية، محافظة الإسكندرية,Active,TravelAgency,Silver,31.2027,29.895,01/06/2026,31/12/2026,https://alexcitytravel.com,,
SPON-051,Round Trip Travel Tours,راوند تريب للسياحة,A renowned Alexandria-headquartered travel management company serving customers since 2003 as an IATA-accredited agent.,شركة إدارة سفر مشهورة مقرها الإسكندرية تخدم العملاء منذ 2003 كوكيل معتمد من الاتحاد الدولي للنقل الجوي.,"El Ibrahimeya, Alexandria Governorate",الإبراهيمية، محافظة الإسكندرية,Active,TravelAgency,Silver,31.2165,29.9281,01/06/2026,31/12/2026,https://roundtriptraveltours.com,+201099844641,
SPON-052,RTS El-Raghy Travel Services,آر تي إس الراغي لخدمات السفر,A highly rated Alexandria travel service offering private and group tours across Egypt with expert English-speaking guides.,خدمة سفر عالية التقييم في الإسكندرية تقدم جولات خاصة وجماعية في مختلف أنحاء مصر مع مرشدين سياحيين محترفين.,Alexandria Governorate,محافظة الإسكندرية,Active,Tour,Silver,31.1999,29.9048,01/06/2026,31/12/2026,,+2034288031,
SPON-053,SEA Lounge San Stefano,سي لاونج سان ستيفانو,A stylish beachfront lounge in San Stefano offering Mediterranean cuisine and cocktails with sea views.,صالة أنيقة على الشاطئ في سان ستيفانو تقدم المأكولات المتوسطية والمشروبات مع إطلالات بحرية.,"San Stefano Grand Plaza, El Geish Road, Alexandria Governorate",سان ستيفانو جراند بلازا، طريق الجيش، محافظة الإسكندرية,Active,Cafe,Gold,31.2362,29.9729,01/06/2026,31/12/2026,,,
SPON-054,Cascada Cafe & Restaurant,كافيه وريستورانت كاسكادا,"A popular cafe and restaurant celebrated for its high-quality coffee, hot chocolate, and friendly staff.",كافيه ومطعم شهير يُشاد به بجودة قهوته العالية والشوكولاته الساخنة وموظفيه الودودين.,"52 Saad Zaghloul St, Al Attarin, Alexandria Governorate",52 شارع سعد زغلول، العطارين، محافظة الإسكندرية,Active,Cafe,Bronze,31.2012,29.8965,01/06/2026,31/12/2026,,+201226167358,
SPON-055,Wings Tours & Nile Cruises,وينجز للجولات ورحلات النيل,"An Alexandria-based tour operator specializing in Nile cruises, airline ticketing, and customized Egypt tour packages.",مشغل سياحي مقره الإسكندرية متخصص في رحلات النيل وتذاكر الطيران وباقات الجولات المصرية المخصصة.,"39b Elobour Buildings, Moustafa Kamel St, Bulkily, Alexandria Governorate",39ب مباني العبور، شارع مصطفى كامل، البلكلي، محافظة الإسكندرية,Active,TravelAgency,Bronze,31.2291,29.9605,01/06/2026,31/12/2026,,+20222618771,
SPON-056,La Guitaih Travel Agency,لا غيتا لوكالة السفر,"A reputable travel agency in Ibrahimeya, Alexandria, offering airline ticketing, hotel booking, and tailored tour services.",وكالة سفر ذات سمعة طيبة في الإبراهيمية بالإسكندرية تقدم تذاكر الطيران وحجز الفنادق وخدمات الجولات المخصصة.,"La Guitaih St, El Ibrahimeya, Alexandria Governorate",شارع لا غيتا، الإبراهيمية، محافظة الإسكندرية,Active,TravelAgency,Bronze,31.2158,29.9264,01/06/2026,31/12/2026,,,
SPON-057,Balbaa Village,قرية بلبع,"A lively entertainment and dining venue near Raml Station, popular among locals for evenings out.",مكان ترفيهي وتناول طعام نابض بالحياة بالقرب من محطة الرمل، يحظى بشعبية بين السكان المحليين.,"Raml Station Area, Al Attarin, Alexandria Governorate",منطقة محطة الرمل، العطارين، محافظة الإسكندرية,Active,Restaurant,Bronze,31.2021,29.8946,01/06/2026,31/12/2026,,+20216941,
SPON-059,Latino Cafe & Restaurant,لاتينو كافيه ومطعم,A cozy Nile-side cafe and restaurant in Dokki offering Latin-inspired dishes alongside Egyptian flavors in a relaxed colorful setting.,كافيه ومطعم دافئ على ضفاف النيل في الدقي يقدم أطباقاً مستوحاة من أمريكا اللاتينية إلى جانب النكهات المصرية.,"106 Nile St, Ad Doqi, Dokki, Giza Governorate 12611",106 شارع النيل، الدقي، محافظة الجيزة 12611,Active,Cafe,Silver,30.0405,31.2129,15/05/2026,10/08/2026,,+201284177773,
SPON-060,Vinni Cafe & Deli,فيني كافيه وديلي,"A cozy and charming cafe in Dokki offering a calm atmosphere, delicious meals, baked goods, and quality coffee.",كافيه ودافئ وساحر في الدقي يوفر أجواءً هادئة ووجبات لذيذة ومخبوزات وقهوة عالية الجودة.,"22 Hendawi St, Ad Doqi, Dokki, Giza Governorate 3753420",22 شارع هندوي، الدقي، محافظة الجيزة 3753420,Active,Cafe,Bronze,30.042,31.2115,15/05/2026,10/08/2026,,+20233355266,
SPON-061,Kadoura Seafood Restaurant,مطعم كدوارة للمأكولات البحرية,"A crowd-favorite seafood restaurant near the Pyramids serving fresh fish, shrimp, calamari, and grilled platters with traditional Egyptian cooking methods.",مطعم مأكولات بحرية محبوب بالقرب من الأهرامات يقدم الأسماك الطازجة والجمبري والكاليماري وأطباق المشويات بأساليب الطهي المصرية التقليدية.,"Nazlet El-Semman, Al Haram, Giza Governorate",نزلة السمان، الهرم، محافظة الجيزة,Active,Restaurant,Silver,29.9754,31.1305,15/05/2026,10/08/2026,,+2035802147,
SPON-062,Bent El-Sultan Restaurant,مطعم بنت السلطان,A serene Nile-view restaurant near the Giza Pyramids offering a diverse menu from burgers and pizzas to gourmet dishes in a charming riverside setting.,مطعم هادئ مطل على النيل بالقرب من أهرامات الجيزة يقدم قائمة متنوعة من البرغر والبيتزا إلى الأطباق الراقية.,"Al Haram, Giza Governorate",الهرم، محافظة الجيزة,Active,Restaurant,Silver,29.9761,31.1318,15/05/2026,10/08/2026,,+201212822011,
SPON-063,Andrea Restaurant Mohandeseen,مطعم أندريا المهندسين,"A popular traditional Egyptian restaurant in Mohandeseen known for its grilled chicken, mezze, and classic Egyptian breakfast dishes.",مطعم مصري تقليدي شهير في المهندسين معروف بالدجاج المشوي والمقبلات وأطباق الفطور المصرية الكلاسيكية.,"Mohandeseen, Giza Governorate",المهندسين، محافظة الجيزة,Active,Restaurant,Silver,30.0582,31.1996,15/05/2026,10/08/2026,,+201007866633,
SPON-064,Sheraton Cairo Hotel & Casino,فندق وكازينو شيراتون القاهرة,"An iconic 5-star hotel in Giza on the banks of the Nile offering luxury rooms, multiple restaurants, a casino, and world-class facilities.",فندق خمس نجوم أيقوني في الجيزة على ضفاف النيل يوفر غرفاً فاخرة ومطاعم متعددة وكازينو ومرافق عالمية المستوى.,"Galaa Square, Dokki, Giza Governorate",ميدان الجلاء، الدقي، محافظة الجيزة,Active,Hotel,Platinum,30.0624,31.2171,15/05/2026,10/08/2026,https://www.marriott.com,+20233369800,
SPON-065,Hyatt Regency Cairo West,هيات ريجنسي القاهرة الغربية,"A premier 5-star hotel in Giza offering panoramic views, upscale dining, a rooftop pool, and easy access to the Giza Pyramids complex.",فندق متميز من فئة خمس نجوم في الجيزة يوفر إطلالات بانورامية ومطاعم فاخرة وحمام سباحة على السطح وسهولة الوصول إلى مجمع أهرامات الجيزة.,"Al Haram, Giza Governorate",الهرم، محافظة الجيزة,Active,Hotel,Platinum,29.9825,31.1283,15/05/2026,10/08/2026,https://www.hyatt.com,+20235369500,
SPON-066,Mövenpick Resort Cairo Pyramids,منتجع موفنبيك القاهرة الأهرام,"A luxurious resort hotel steps away from the Giza Pyramids offering elegant rooms, outdoor pools, and fine dining with pyramid views.",منتجع فندقي فاخر على بُعد خطوات من أهرامات الجيزة يوفر غرفاً أنيقة وحمامات سباحة خارجية ومطاعم راقية مع إطلالات على الأهرامات.,"Alexandria Desert Road, Al Haram, Giza Governorate",طريق الصحراء الإسكندرية، الهرم، محافظة الجيزة,Active,Hotel,Platinum,29.9848,31.1265,15/05/2026,10/08/2026,https://www.movenpick.com,+20238555001,
SPON-067,Steigenberger Pyramids Cairo,شتايجنبرجر بيراميدز القاهرة,"A prestigious hotel near the Giza Pyramids combining modern comfort with classic Egyptian décor, featuring multiple dining venues and a spa.",فندق راقٍ بالقرب من أهرامات الجيزة يجمع بين الراحة الحديثة والديكور المصري الكلاسيكي مع أماكن تناول طعام متعددة وسبا.,"Alexandria Desert Road, Al Haram, Giza Governorate",طريق الصحراء الإسكندرية، الهرم، محافظة الجيزة,Active,Hotel,Gold,29.9855,31.125,15/05/2026,10/08/2026,,+20225993999,
SPON-068,Mena House Hotel,فندق مينا هاوس,"A legendary 5-star heritage hotel situated at the foot of the Giza Pyramids with lush gardens, a pool, and iconic pyramid-view dining.",فندق تراثي أسطوري من فئة خمس نجوم يقع عند قدم أهرامات الجيزة مع حدائق خضراء وحمام سباحة وتناول طعام مع إطلالة على الأهرامات.,"Pyramids Road, Nazlet El-Semman, Al Haram, Giza Governorate",طريق الأهرام، نزلة السمان، الهرم، محافظة الجيزة,Active,Hotel,Platinum,29.9732,31.1317,15/05/2026,10/08/2026,,+20233773222,
SPON-069,Kanzy Hotel Mohandeseen,فندق كنزي المهندسين,A well-located hotel in Mohandeseen offering comfortable rooms and convenient access to Giza's main commercial and dining districts.,فندق ذو موقع ممتاز في المهندسين يوفر غرفاً مريحة وسهولة الوصول إلى المناطق التجارية وأماكن تناول الطعام الرئيسية في الجيزة.,"9 Abou Bakr El Seddik St, Mohandeseen, Giza Governorate",9 شارع أبو بكر الصديق، المهندسين، محافظة الجيزة,Active,Hotel,Silver,30.0593,31.1988,15/05/2026,10/08/2026,,+202233351576,
SPON-070,Here Egypt Tours,هير إيجيبت تورز,"A Giza-based tour operator offering guided excursions to the Pyramids, Sphinx, and other Egyptian heritage sites with expert Egyptologist guides.",مشغل سياحي مقره الجيزة يقدم جولات إرشادية إلى الأهرامات وأبو الهول والمواقع التراثية المصرية الأخرى مع مرشدين من علماء المصريات.,"Al Haram, Giza Governorate",الهرم، محافظة الجيزة,Active,Tour,Bronze,29.9758,31.1306,15/05/2026,10/08/2026,,,
SPON-071,Egypt Tours Portal,بوابة جولات مصر,"A premium Egyptian travel agency specializing in private Pyramids tours, Nile cruises, and full Egypt packages with 5-star hotel accommodation.",وكالة سفر مصرية متميزة متخصصة في جولات الأهرامات الخاصة ورحلات النيل وباقات مصر الكاملة مع إقامة في فنادق خمس نجوم.,"Mohandeseen, Giza Governorate",المهندسين، محافظة الجيزة,Active,TravelAgency,Gold,30.0576,31.1994,15/05/2026,10/08/2026,https://www.egypttoursportal.com,+201004051515,
SPON-073,Visitors Egypt Tours,فيزيتورز إيجيبت تورز,"A Giza-based tour operator providing personalized Pyramids tours, camel rides, and full-day Cairo excursions with professional guides.",مشغل سياحي مقره الجيزة يقدم جولات مخصصة للأهرامات وركوب الجمال ورحلات يوم كامل في القاهرة مع مرشدين محترفين.,"Nazlet El-Semman, Al Haram, Giza Governorate",نزلة السمان، الهرم، محافظة الجيزة,Active,Tour,Bronze,29.9756,31.1302,15/05/2026,10/08/2026,,,
SPON-074,El Tekkia Restaurant,مطعم التكية,"One of Cairo's most famous restaurants serving traditional Egyptian cuisine with a diverse menu of soups, grills, and oriental dishes in a classic setting.",أحد أشهر مطاعم القاهرة يقدم المأكولات المصرية التقليدية بقائمة متنوعة من الشوربات والمشويات والأطباق الشرقية.,"Mohandeseen, Giza Governorate",المهندسين، محافظة الجيزة,Active,Restaurant,Gold,30.0584,31.2001,15/05/2026,10/08/2026,,+201003649675,
SPON-075,Regency Pyramids Hotel,فندق ريجنسي بيراميدز,"A comfortable hotel located directly in front of Mena House, offering pyramid views, spacious rooms, and easy access to the Giza Plateau.",فندق مريح يقع مباشرةً أمام مينا هاوس يوفر إطلالات على الأهرامات وغرف واسعة وسهولة الوصول إلى هضبة الجيزة.,"19 Al Shams St, In Front of Mena House, Kafr Nassar, Giza Governorate",19 شارع الشمس، أمام مينا هاوس، كفر نصار، محافظة الجيزة,Active,Hotel,Silver,29.9735,31.1322,15/05/2026,10/08/2026,,+201097925212,
SPON-077,Careem Egypt,كريم مصر,A popular regional ride-hailing and delivery super-app offering transportation services throughout Giza and the Greater Cairo area.,تطبيق خدمات شامل إقليمي يوفر خدمات النقل والتوصيل في جميع أنحاء الجيزة ومنطقة القاهرة الكبرى.,"Dokki, Giza Governorate",الدقي، محافظة الجيزة,Active,Transportation,Gold,30.041,31.212,15/05/2026,10/08/2026,https://www.careem.com,,
SPON-078,Mount Sinai Sunrise Tour,جولة شروق الشمس جبل موسى,Guided hiking tours to the summit of Mount Sinai for sunrise.,جولات صعود إرشادية لقمة جبل موسى لمشاهدة شروق الشمس.,"St. Catherine, South Sinai Governorate",سانت كاترين، محافظة جنوب سيناء,Active,Tour,Platinum,28.539167,33.974444,15/05/2026,15/11/2026,,+201023456711,sinai.guides@safari.com
SPON-079,Colored Canyon Safari Track,سفاري الوادي الملون نويبع,4x4 safari transport and trekking inside the Colored Canyon.,رحلات سفاري بسيارات 4x4 وتجول داخل الوادي الملون.,"Nuweiba, South Sinai Governorate",نويبع، محافظة جنوب سيناء,Active,Tour,Gold,29.141234,34.542312,20/05/2026,20/11/2026,,+201223948576,nuweiba.safari@desert.eg
SPON-080,Catherine Mountain Lodge,لوج جبل كاترين,Eco-friendly accommodation at the foot of the mountain.,إقامة صديقة للبيئة عند سفح الجبل.,"St. Catherine Town, South Sinai",مدينة سانت كاترين، جنوب سيناء,Active,Hotel,Gold,28.552134,33.951234,01/06/2026,01/06/2027,https://catherinelodge.com,+20693470221,info@catherinelodge.com
SPON-081,Sinai Bedouin Star Camp,كامب نجمة البدو نويبع,Beachfront camp and traditional food near Nuweiba port.,كامب شاطئي ومأكولات بدوية تقليدية بالقرب من ميناء نويبع.,"Nuweiba-Taba Road, South Sinai",طريق نويبع طابا، جنوب سيناء,Active,Hotel,Silver,29.062145,34.661234,15/05/2026,15/05/2027,,+201009876543,bedouinstar@camp.eg
SPON-082,St. Catherine Shuttle Bus,أتوبيس نقل سانت كاترين,Fixed schedules for tourists from Dahab to St. Catherine.,مواعيد ثابتة لنقل السياح من دهب إلى سانت كاترين.,"Dahab Main Bus Station, South Sinai",محطة أتوبيس دهب الرئيسية، جنوب سيناء,Active,Transportation,Silver,28.501234,34.511234,01/06/2026,01/12/2026,,+201114567890,sinai.transit@express.com
SPON-083,Desert Fox Camp & Cafe,كامب ومقهى ثعلب الصحراء,"Rest stop, cafe, and basic lodging for canyon hikers.",استراحة ومقهى وإقامة أساسية للمتنزهين في الوديان.,St. Catherine Protected Area,محمية سانت كاترين، جنوب سيناء,Active,Cafe,Bronze,28.558912,33.941234,10/05/2026,10/08/2026,,+201551234567,
SPON-084,Castle Zaman Restaurant,مطعم قلعة زمان,Fine dining and slow-cooked meals overlooking the gulf.,طعام فاخر ومأكولات مطهية ببطء مطلة على الخليج.,"Taba-Nuweiba Highway, South Sinai",طريق طابا نويبع السريع، جنوب سيناء,Active,Restaurant,Platinum,29.351234,34.801234,15/05/2026,15/05/2027,https://castlezaman.com,+201222131541,management@castlezaman.com
SPON-085,Blue Hole Diving Center,مركز غوص البلو هول,Professional diving guides and gear rental at Blue Hole.,مرشدو غوص محترفون وتأجير معدات في البلو هول.,"Blue Hole Protective Area, Dahab",منطقة البلو هول المحمية، دهب,Active,Service,Gold,28.572123,34.536712,01/06/2026,01/06/2027,,+20693640123,dive@blueholedahab.com
SPON-086,Dahab Canyon Bedouin Guide,دليل البدو لوادي دهب,Local guides specializing in canyon trekking and history.,مرشدون محليون متخصصون في رحلات الوديان وتاريخها.,"Mashraba Street, Dahab, South Sinai",شارع المشربة، دهب، جنوب سيناء,Active,Tour,Bronze,28.498123,34.515432,20/05/2026,20/08/2026,,+201098123456,dahab.trekking@sinai.com
SPON-087,Ali Baba Restaurant Dahab,مطعم علي بابا دهب,Seafood and oriental dishes on the Dahab promenade.,مأكولات بحرية وأطباق شرقية على ممشى دهب.,"El Tourist Promenade, Dahab",الممشى السياحي، دهب، جنوب سيناء,Active,Restaurant,Silver,28.502123,34.520123,15/05/2026,15/11/2026,,+20693641122,alibaba.dahab@gmail.com
SPON-088,Nuweiba Port Transport Hub,مركز نقل ميناء نويبع,Private limousine and van rental for site visits.,تأجير ليموزين وسيارات فان خاصة لزيارة المواقع.,"Port Street, Nuweiba, South Sinai",شارع الميناء، نويبع، جنوب سيناء,Active,Transportation,Silver,28.964512,34.651234,01/06/2026,01/12/2026,,+201287654321,nuweiba.cars@transport.eg
SPON-089,Wadi Gnai Safari Agency,وكالة سفاري وادي قني,Rock climbing and quad biking tours in Wadi Gnai.,جولات تسلق الصخور وبيتش باجي في وادي قني.,"South Dahab Area, South Sinai",منطقة جنوب دهب، جنوب سيناء,Active,TravelAgency,Gold,28.451234,34.461234,25/05/2026,25/11/2026,,+201011223344,gnai.safari@dahab.co
SPON-090,Taba Heights Marina Tours,جولات مارينا طابا هايتس,Boat trips and yacht rentals to Pharaoh's Island.,رحلات بحرية وتأجير يخوت إلى جزيرة فرعون.,"Taba Heights, Resort Area, Taba",طابا هايتس، منطقة المنتجعات، طابا,Active,Tour,Platinum,29.412341,34.891234,01/06/2026,01/06/2027,https://tabaheights.com,+20693580100,marina@tabaheights.com
SPON-091,Pharaoh's Island Boat Service,خدمة مركب جزيرة فرعون,Regular ferry service from the coast to Salah El-Din Citadel.,خدمة عبّارات منتظمة من الساحل إلى قلعة صلاح الدين.,"Taba Coastal Road, Taba",طريق طابا الساحلي، طابا,Active,Transportation,Silver,29.431234,34.912341,15/05/2026,15/11/2026,,+201523451122,pharaoh.ferry@sinai.gov.eg
SPON-092,Yalla Safari Dahab Cafe,مقهى يلا سفاري دهب,Meeting point and cafe for safari groups before trips.,نقطة التقاء ومقهى لمجموعات السفاري قبل الرحلات.,"Lighthouse Area, Dahab, South Sinai",منطقة اللايتهاوس، دهب، جنوب سيناء,Active,Cafe,Bronze,28.506123,34.521234,01/06/2026,01/09/2026,,+201066554433,
SPON-093,Coral Resort Nuweiba,منتجع كورال نويبع,Beach resort providing direct excursions to the canyons.,منتجع شاطئي يوفر رحلات مباشرة إلى الوديان الجبلية.,"Dahab-Nuweiba Highway, Nuweiba",طريق دهب نويبع، نويبع، جنوب سيناء,Active,Hotel,Platinum,29.021234,34.641234,15/05/2026,15/05/2027,https://coralnuweiba.com,+20693520200,reservation@coralnuweiba.com
SPON-094,Sinai Trekking Company,شركة سيناء للترحال,Professional long-distance trekking and mountain logistics.,ترحال طويل المدى محترف ولوجستيات جبلية.,"St. Catherine Center, South Sinai",وسط مدينة سانت كاترين، جنوب سيناء,Active,TravelAgency,Gold,28.555123,33.945123,01/06/2026,01/12/2026,,+201271234567,info@sinaitrekking.com
SPON-095,Everyday Cafe Dahab,إيفري داي كافيه دهب,Popular tourist cafe with seaside seating and Wi-Fi.,مقهى سياحي شهير بجلسات بحرية وشبكة واي فاي.,"Eel Garden Street, Dahab, South Sinai",شارع إيل جاردن، دهب، جنوب سيناء,Active,Cafe,Silver,28.504512,34.521987,20/05/2026,20/11/2026,,+20693640412,everyday@dahab.co
SPON-096,Ras Abu Galum Camel Transit,نقل الجمال محمية أبو جالوم,Bedouin camel transport service from Blue Hole to Abu Galum.,خدمة نقل الجمال البدوية من البلو هول إلى أبو جالوم.,"Blue Hole Track, Dahab",ممشى البلو هول، دهب، جنوب سيناء,Active,Transportation,Bronze,28.612341,34.541234,12/05/2026,12/08/2026,,+201088776655,
SPON-097,Sheikh Moussa Bedouin Camp,كامب الشيخ موسى,Authentic Bedouin hospitality and meals in St. Catherine.,ضيافة ووجبات بدوية أصيلة في سانت كاترين.,"Al-Wadi Area, St. Catherine",منطقة الوادي، سانت كاترين، جنوب سيناء,Active,Hotel,Silver,28.549123,33.942134,18/05/2026,18/05/2027,,+20693470045,moussa.camp@sinai.net
SPON-098,Port Said Canal Cruise,جولة قناة السويس بورسعيد,Scenic boat tours along the historic Suez Canal shipping lane.,جولات بحرية مميزة داخل المجرى الملاحي لقناة السويس التاريخية.,"Palestine Street, Waterfront, Port Said",شارع فلسطين، الممشى السياحي، بورسعيد,Active,Tour,Gold,31.259212,32.311456,25/05/2026,25/11/2026,,+20663224567,canal.tours@portsaid.gov.eg
SPON-099,El-Gondolet Fish Restaurant,مطعم الجندول للأسماك,Famous traditional seafood experience near Port Said lighthouse.,تجربة مأكولات بحرية تقليدية شهيرة بالقرب من فنار بورسعيد.,"Tarh El-Bahr Street, Port Said",شارع طرح البحر، بورسعيد,Active,Restaurant,Silver,31.265412,32.298745,01/06/2026,01/12/2026,,+20663339124,gondolet@ps-seafood.com
SPON-100,Luxor West Bank Ferry,معدية البر الغربي بالأقصر,Regular Nile crossing transport between East and West banks.,خدمة عبّارات نهرية منتظمة بين البر الشرقي والبر الغربي.,"Karnak Temple St Dock, Luxor",مرسى شارع معبد الكرنك، الأقصر,Active,Transportation,Silver,25.701234,32.641234,25/05/2026,25/05/2027,,+201004561234,luxor.ferry@transit.eg
SPON-101,Valley of the Kings Tour Guides,مرشدو وادي الملوك بالأقصر,Certified egyptologists for deep architectural and history tours.,مرشدون أثريون معتمدون لجولات تاريخية ومعمارية عميقة.,"Valley of the Kings Site, West Bank, Luxor",موقع وادي الملوك، البر الغربي، الأقصر,Active,Tour,Platinum,25.740123,32.601456,01/06/2026,01/12/2026,https://luxortours.eg,+201227894561,guides@luxortours.eg
SPON-102,Kato Dool Nubian Resort,منتجع كاتو دول النوبي,Authentic Nubian lodging and cultural heritage experience.,إقامة نوبية أصيلة وتجربة تراثية وثقافية على ضفاف النيل.,"Gharb Soheil Village, Aswan",قرية غرب سهيل، أسوان,Active,Hotel,Platinum,24.058912,32.871234,25/05/2026,25/05/2027,https://katodool.com,+201119001122,info@katodool.com
SPON-103,Philae Island Boat Taxi,فلوكة جزيرة فيلة أسوان,Traditional motorboat transit to Philae Temple island.,خدمة قوارب بمحرك تقليدية للوصول إلى جزيرة معبد فيلة.,"Philae Temple Marina, Shallal, Aswan",مرسى معبد فيلة، الشلال، أسوان,Active,Transportation,Bronze,24.025412,32.889123,20/05/2026,20/11/2026,,+201556789123,
SPON-104,Aswan Nubian House Cafe,مقهى البيت النوبي أسوان,Riverside traditional terrace offering Nubian drinks and music.,تراس تقليدي على النيل يقدم مشروبات وموسيقى نوبية.,"Elephantine Island, Aswan",جزيرة ألفنتين، أسوان,Active,Cafe,Bronze,24.091234,32.892341,01/06/2026,01/09/2026,,+20972314567,
SPON-105,Marsa Alam Diving Safari,سفاري غوص مرسى علم,Deep sea diving trips to Elphinstone and Samadai reefs.,رحلات غوص في أعماق البحر لشعاب إلفينستون وصمداي.,"Marsa Alam Coastal Road, Red Sea",طريق مرسى علم الساحلي، البحر الأحمر,Active,Tour,Platinum,25.064123,34.891234,25/05/2026,25/11/2026,,+201012349876,diving@marsa-safari.com
SPON-106,Wadi El-Gemal Eco Camp,كامب محمية وادي الجمال,Sustainable wilderness camping and desert eco-tours.,تخييم بري مستدام وجولات بيئية في صحراء المحمية.,"Wadi El-Gemal National Park, South Red Sea",محمية وادي الجمال، جنوب البحر الأحمر,Active,Hotel,Gold,24.671234,35.091234,01/06/2026,01/06/2027,https://wadielgemal.org,201284561234,eco@wadielgemal.org
SPON-107,Shalateen Camel Market Guide,دليل سوق جمال شلاتين,Cultural exploration walks through the historic trading hub.,جولات استكشافية ثقافية داخل مركز التجارة التاريخي.,"Main Market Area, Shalateen, Red Sea",منطقة السوق الرئيسية، شلاتين، البحر الأحمر,Active,Service,Bronze,22.083412,36.601234,15/05/2026,15/08/2026,,201521144332,
SPON-108,dramout Damascus,حضرموت الدمشقي,Traditional Yemeni BBQ restaurant in Tanta,مطعم يمني تقليدي في طنطا,"Al Bahr St. at Taha Al-Hakim St, Tanta, Gharbia Governorate",شارع البحر مع شارع طه الحكيم، طنطا (القسم الثاني)، محافظة الغربية,Active,Restaurant,Silver,30.79151,30.99831,01/07/2026,31/12/2026,,01000520345,
SPON-109,Mimi El Khan,مطعم ميمي الخان,Popular grill-house near Sidi Masoud Mosque,مطعم مشويات شعبي بالقرب من مسجد سيدي مسعود,"Behind Mohamed Asaad, Sidi Masoud El Khan St, Tanta, Gharbia Governorate",شارع سيدي مسعود الخان خلف محمد أسعد، طنطا، محافظة الغربية,Active,Restaurant,Bronze,30.78483,31.00088,01/06/2026,30/09/2026,,,
SPON-110,Stereo Restaurant & Café,ستيريو رستورانت وكافيه,International café offering American and Italian cuisine,مقهى دولي يقدم مأكولات أمريكية وإيطالية,"Botros St., Tanta, Gharbia Governorate",شارع بطرس، طنطا، محافظة الغربية,Active,Restaurant,Gold,30.789,30.999,01/04/2026,31/12/2026,stereorestaurant.com,01123840043,
SPON-111,Kamona,كمنه للمشويات,Bedouin barbecue restaurant in Marsa Matrouh,مطعم مشويات بدوية في مرسى مطروح,"El Galaa St. at Alexandria St, Marsa Matrouh, Matrouh Governorate",شارع الجلاء تقاطع شارع الإسكندرية، مرسى مطروح، محافظة مطروح,Active,Restaurant,Silver,31.356,27.237,01/04/2026,31/12/2026,,0464932107,
SPON-112,Talist Siwa,تالست سيوة,Boutique hotel in Siwa Oasis,فندق بوتيكي في واحة سيوة,"Al Maraqi Rd, Siwa, Matrouh Governorate",طريق المراقي، سيوة، محافظة مطروح,Active,Hotel,Gold,29.2,25.516,01/06/2026,31/12/2026,,,
SPON-113,Seliyaa Hotel,سيليا هوتيل,Desert lodge with pool on Marsa Matrouh–Siwa Road,نزل صحراوي مع مسبح على طريق سيوة-مرسى مطروح,"Marsa Matrouh–Siwa Road, Siwa, Matrouh Governorate",طريق مرسى مطروح - سيوة، سيوة، محافظة مطروح,Active,Hotel,Gold,29.197,25.534,01/05/2026,31/12/2026,,,
SPON-114,Sol Y Mar Pioneers,سول واي مار بايونيرز,4-star family resort with pool near El Kharga,منتجع عائلي 4 نجوم مع مسبح بالقرب من الخارجة,"Gamal Abd El Nasser St, El Kharga, New Valley Governorate",شارع جمال عبد الناصر، الخارجة، محافظة الوادي الجديد,Active,Hotel,Gold,25.4449,32.739,01/04/2026,30/09/2026,,,
SPON-115,Qasr El Bagawat Hotel,قصر البجوات,Luxury desert hotel next to Qasr El Bagawat necropolis,فندق فاخر بجانب مقبرة قصر البجوات,"Next to Qasr El Bagawat Necropolis, El Kharga, New Valley Governorate",بجوار مقبرة قصر البجوات، الخارجة، محافظة الوادي الجديد,Active,Hotel,Platinum,25.45,32.744,01/06/2026,30/09/2026,,,
SPON-116,Basata Lodge,باساتا لودج,Small eco-friendly lodge in Kharga Oasis,نزل بيئي صغير في واحة الخارجة,"Kharga Oasis, New Valley Governorate",واحة الخارجة، محافظة الوادي الجديد,Active,Hotel,Bronze,25.445,32.73,01/04/2026,31/12/2026,,,
SPON-117,Oasis Hotel,فندق الواحة,Economy hotel in downtown El Kharga,فندق اقتصادي في مركز مدينة الخارجة,"Downtown El Kharga, New Valley Governorate",وسط مدينة الخارجة، محافظة الوادي الجديد,Active,Hotel,Bronze,25.448,32.742,01/05/2026,31/12/2026,,,
