Name,Name (Arabic),Description,Description (Arabic),Site Name,Type,Display Order
Mask of Tutankhamun,قناع توت عنخ آمون,"Overview and Historical Significance
 The iconic golden funerary mask of King Tutankhamun, a renowned pharaoh of the 18th Dynasty, stands as one of the most famous artifacts from ancient Egypt and a true global icon of pharaonic civilization. It perfectly captures the legendary wealth, artistry, and mystique of the ancient world.
 Materials and Royal Iconography
 Crafted entirely from solid gold, this unparalleled masterpiece is intricately inlaid with semi-precious stones and vibrant colored glass paste. The young king is depicted wearing the traditional striped nemes headdress. Resting upon his forehead are the sacred cobra (uraeus) and the vulture, powerfully symbolizing his supreme dominion over Upper and Lower Egypt, complemented by a divine artificial beard.
 Discovery and Current Location
 This breathtaking treasure was famously discovered in 1922 by British archaeologist Howard Carter within the boy king's tomb in the Valley of the Kings. Today, it is proudly displayed as the ultimate centerpiece among the royal collections at the Grand Egyptian Museum (GEM) in Giza.","نبذة عامة والأهمية التاريخية
 يُعد القناع الجنائزي الذهبي الأيقوني للملك ""توت عنخ آمون""، فرعون الأسرة الثامنة عشرة الشهير، واحداً من أشهر القطع الأثرية في تاريخ مصر القديمة وأيقونة عالمية حقيقية تعبر عن عظمة وغموض الحضارة الفرعونية.
 الخامات والرموز الملكية
 صُنع هذا الأثر الخالد بالكامل من الذهب الخالص، وتم تطعيمه ببراعة فائقة وغاية في الدقة بالأحجار شبه الكريمة وعجينة الزجاج الملونة. يظهر الملك الشاب مرتدياً غطاء الرأس المخطط التقليدي المعروف بـ ""النمس"". ويتوج جبهته حية الكوبرا المقدسة (الصل الملكي) والنسر، وهما رمزان يعبران بقوة عن سيطرته المطلقة على مصر العليا والسفلى، وتكتمل هيبته الملكية باللحية المستعارة ذات الطابع الإلهي.
 الاكتشاف ومقر العرض الحالي
 تم اكتشاف هذا الكنز الذي يخطف الأنفاس في عام 1922 على يد عالم الآثار البريطاني ""هوارد كارتر"" داخل مقبرة الفرعون الشاب في وادي الملوك. واليوم، يُعرض هذا القناع الساحر بكل فخر كأهم وأبرز القطع المركزية في المتحف المصري الكبير بالجيزة (GEM).",The Grand Egyptian Museum,Mask,22
Menkaure Triad,ثلاثية منقرع,"Overview and Divine Presence
 This exceptional sculptural group from the Fourth Dynasty of ancient Egypt depicts King Menkaure standing confidently in the center. He is elegantly flanked by two powerful female figures: the prominent goddess Hathor, and a personified local nome (province) goddess. This profound triad symbolizes the pharaoh's eternal connection with the divine and the enduring fertility and prosperity of his kingdom.
 Material and Craftsmanship
 Dating back to approximately 2530–2500 BC, this masterpiece is meticulously carved from a single, solid block of dark stone, highly likely graywacke or schist. The remarkably smooth finish, intricate details, and realistic proportions reflect the absolute mastery and high artistic standards achieved by ancient Egyptian sculptors during the Old Kingdom epoch.
 Discovery and Current Location
 This triad is one of several similar and highly significant statues famously discovered in the Valley Temple associated with the pyramid of Menkaure at the Giza Plateau. Today, this extraordinary historical artifact is safely housed and beautifully displayed for visitors at the Egyptian Museum in Cairo.","نبذة عامة والحضور الإلهي
 تمثل هذه المجموعة النحتية الاستثنائية التي تعود إلى عصر الأسرة الرابعة في مصر القديمة، الملك ""منكاورع"" واقفاً بثقة وشموخ في المنتصف. وتحيط به شخصيتان أنثويتان قويتان: المعبودة العظيمة ""حتحور""، وتجسيد لإلهة أحد الأقاليم المصرية (المقاطعات). يرمز هذا الثالوث المهيب إلى الارتباط الأبدي للفرعون بالآلهة والخصوبة الدائمة والرخاء الذي يعم مملكته.
 الخامات وبراعة الصنع
 يعود تاريخ هذه التحفة الفنية إلى الفترة ما بين 2530 و2500 قبل الميلاد تقريباً، وقد نُحتت بدقة وعناية فائقة من كتلة واحدة صلبة من الحجر الداكن، والذي يُرجح أنه حجر الشست أو الجرايواكي. ويعكس الملمس الناعم للتمثال والنسب الواقعية الدقيقة البراعة المطلقة والمعايير الفنية الرفيعة التي حققها النحاتون المصريون القدماء خلال عصر الدولة القديمة.
 الاكتشاف ومقر العرض الحالي
 يُعد هذا الثالوث واحداً من مجموعة تماثيل مشابهة ومشهورة تم اكتشافها داخل معبد الوادي الملحق بهرم الملك منكاورع في هضبة الجيزة. واليوم، تُعرض هذه القطعة الأثرية ذات الأهمية التاريخية الكبرى بكل فخر أمام الزوار ضمن المقتنيات العريقة في المتحف المصري بالقاهرة.",The Egyptian Museum,Statue,23
Meryre and Iniuia,ميريري وإينويا,"​Overview and Historical Significance
 This exquisite painted limestone statue depicts Meryre standing lovingly alongside his wife, Iniuia. Dating back to the 18th Dynasty, Meryre holds a prominent place in history as he served as the High Priest of Aten during the transformative and revolutionary Amarna Period. Because private statuary from this specific era is exceptionally rare, this masterpiece is considered highly valuable and historically significant.
 ​Artistic Mastery and Details
 The sculpture stands as a brilliant testament to the artistic mastery of ancient Egyptian craftsmen. It beautifully showcases vivid, well-preserved colors and remarkably detailed facial features, capturing the intimate, devoted, and lifelike essence of the couple with extraordinary precision.
 ​Current Location
 Having survived millennia to tell the story of a dramatic religious shift in ancient Egypt, this rare and captivating masterpiece is now safely housed and proudly displayed for visitors at the Grand Egyptian Museum (GEM) in Giza.","نبذة عامة والأهمية التاريخية
 يصور هذا التمثال الرائع المنحوت من الحجر الجيري الملون ""مري رع"" جنباً إلى جنب مع زوجته ""إنيويا"". يعود تاريخ هذا الأثر إلى عصر الأسرة الثامنة عشرة، ويحظى ""مري رع"" بمكانة بارزة في التاريخ حيث شغل منصب الكاهن الأكبر للإله ""آتون"" خلال فترة ""العمارنة"" الانتقالية والثورية. ونظراً للندرة الشديدة في التماثيل الخاصة بالأفراد من هذه الحقبة تحديداً، يُعد هذا الأثر ذا قيمة تاريخية واستثنائية بالغة.
 البراعة الفنية والتفاصيل
 يقف هذا النحت كشاهد مبهر على البراعة الفنية التي تمتع بها الحرفيون في مصر القديمة. فهو يبرز بوضوح الألوان الزاهية المحفوظة بعناية والملامح الدقيقة والواقعية جداً للوجوه، مما يجسد الجوهر الحميمي والنابض بالحياة للزوجين بدقة متناهية تخطف الأنظار.
 مقر العرض الحالي
 بعد أن صمدت لآلاف السنين لتروي قصة واحدة من أكثر الفترات الدينية إثارة في مصر القديمة، تُعرض هذه التحفة الفنية النادرة والآسرة الآن بكل فخر أمام الزوار في المتحف المصري الكبير بالجيزة (GEM).",The Grand Egyptian Museum,Statue,24
Middle Coffin of King Tutankhamun,التابوت الأوسط للملك توت عنخ آمون,"Overview and Nested Design
 Resting within a massive stone sarcophagus, this masterpiece is the second in a set of three nested anthropoid (human-shaped) coffins. The middle coffin serves as a sacred bridge between the outermost wooden coffin and the innermost solid gold vessel. Together, these intricately crafted reliquaries created layer upon layer of divine protection for the legendary boy king before his actual body was revealed.
 Materials and Craftsmanship
 Crafted primarily from gilded wood, this breathtaking artifact showcases extraordinary ancient artistry. It is elaborately inlaid with multicolored glass paste and semi-precious stones, including lapis lazuli blue, carnelian red, and turquoise green. the appearance of shimmering enamel, lending it a radiant vibrancy as though the vessel itself were alive.
 Iconography and Symbolism
 The coffin features an idealized, serene visage of the youthful king framed by the traditional striped nemes headdress. Upon his brow rest the royal uraeus (cobra) and vulture emblems, signifying his supreme dominion over Upper and Lower Egypt. Across his chest, he firmly clasps the crook and flail—the ancient insignia of Osirian kingship. The surface is richly decorated with protective goddesses spreading their wings around the king's body, accompanied by magical inscriptions invoking eternal divine guardianship.
 A Historical Mystery and Current Location
 Interestingly, scholars have noted subtle features suggesting this masterpiece may not have been originally crafted for Tutankhamun. It was likely adapted from funerary stock intended for another royal figure of the Amarna line. Despite this adaptation, it remains a magnificent resting place fit for eternity. Today, this captivating treasure is proudly displayed alongside the rest of the pharaoh's collection at the Grand Egyptian Museum (GEM) in Giza.","نبذة عامة وتصميم التوابيت المتداخلة
 يستقر هذا التابوت المذهل داخل التابوت الحجري ليكون الثاني ضمن مجموعة مكونة من ثلاثة توابيت تتخذ شكل الإنسان، وموضوعة داخل بعضها البعض. يمثل التابوت الأوسط حلقة الوصل المقدسة بين التابوت الخشبي الخارجي والتابوت الداخلي المصنوع من الذهب الخالص، ليشكلا معاً طبقات متتالية من الحماية الإلهية لجسد الملك الشاب الأسطوري.
 الخامات وبراعة الصنع
 صُنع هذا الأثر الاستثنائي بشكل أساسي من الخشب المُذهب، ويعكس براعة فنية منقطعة النظير. تم تطعيمه بعناية فائقة بعجينة الزجاج متعددة الألوان والأحجار شبه الكريمة، بما في ذلك أزرق اللازورد، وأحمر العقيق، وأخضر الفيروز. تمنح هذه الخامات النابضة بالحياة التابوت مظهراً لامعاً يشبه طلاء المينا، وكأنه يشع بالحياة رغم كونه أثراً جنائزياً.
 الرمزية الفنية والدينية
 يُظهر التابوت الوجه الهادئ والمثالي للملك الشاب، محاطاً بغطاء الرأس المخطط المعروف بـ ""النمس"". ويتوج جبهته رمزا حية الكوبرا (الصل الملكي) والنسر، تعبيراً عن سيطرته المطلقة على مصر العليا والسفلى. يقبض الملك بيمينه ويساره على صولجان ""الحكا"" والمذبة متقاطعين على صدره، وهما الشارات التقليدية للملكية الأوزيرية. ويتزين سطح التابوت بنقوش بارزة لإلهات الحماية اللاتي يفردن أجنحتهن حول جسد الملك، إلى جانب نصوص سحرية تضمن له الحراسة الإلهية الأبدية.
 لغز تاريخي ومقر العرض
 من المثير للاهتمام أن العلماء لاحظوا بعض التفاصيل الفنية التي تشير إلى أن هذا التابوت ربما لم يُصنع في الأصل للملك توت عنخ آمون، بل تم تعديله من أثاث جنائزي مخصص لشخصية ملكية أخرى من حقبة ""العمارنة"". ورغم ذلك، يظل التابوت تحفة فنية لا تقدر بثمن. يُعرض هذا الكنز الفريد حالياً ضمن المجموعة الكاملة للملك الذهبي في المتحف المصري الكبير بالجيزة.",The Grand Egyptian Museum,Statue,25
Mosaic of Queen Berenice II,فسيفساء الملكة برنيكي الثانية,"Overview and Divine Subject
 This exquisite mosaic portrait depicts Queen Berenice II, the esteemed wife of King Ptolemy III. Dating back to approximately 200 BC, it was originally discovered at the ancient archaeological site of Thmuis (Mendes). The queen is beautifully portrayed with goddess-like features and adorned with a complex crown, strongly suggesting her divine identification with the great Egyptian goddess Isis.
 Artistic Technique and Craftsmanship
 The masterpiece is a spectacular example of opus vermiculatum, a highly sophisticated and meticulous mosaic technique. By utilizing incredibly tiny, precisely cut tesserae (colored tiles), the artist achieved a stunningly detailed, painterly effect that brings the royal portrait to life. Adding to its immense historical rarity, the artwork is proudly signed by its creator, the artist Sophilos, whose name is visibly inscribed directly above the portrait.
 Current Location
 Today, this mesmerizing piece of ancient Hellenistic-Egyptian artistry is carefully preserved and prominently showcased within the esteemed collections of the Graeco-Roman Museum in Alexandria.","نبذة عامة والشخصية الملكية
 تصور لوحة الفسيفساء الرائعة هذه الملكة ""برنيكي الثانية""، الزوجة المبجلة للملك ""بطليموس الثالث"". يعود تاريخ هذا الأثر إلى حوالي عام 200 قبل الميلاد، وقد اكتُشف في الأصل في منطقة ""تيمويس"" (مندس القديمة) الأثرية. تظهر الملكة بملامح إلهية ساحرة مرتدية تاجاً معقداً، مما يشير بقوة إلى ارتباطها وتجسيدها للمعبودة المصرية العظيمة ""إيزيس"".
 التقنية الفنية وبراعة الصنع
 تُعد هذه التحفة الفنية مثالاً مذهلاً على تقنية ""أوبوس فيرميكيولاتوم"" (Opus Vermiculatum)، وهي تقنية فسيفساء شديدة التعقيد. فمن خلال استخدام قطع صغيرة جداً ومقصوصة بدقة متناهية من البلاط الملون، تمكن الفنان من تحقيق تأثير تصويري غني بالتفاصيل يشبه اللوحات المرسومة بالفرشاة لتنبض اللوحة بالحياة. ومما يضيف إلى القيمة التاريخية والنادرة لهذا العمل، أنه يحمل توقيع صانعه، الفنان ""سوفيلوس""، والذي نُقش اسمه بفخر أعلى اللوحة الملكية.
 مقر العرض الحالي
 اليوم، تُحفظ هذه القطعة الأثرية الساحرة التي تمثل روعة الفن الهلنستي المصري بعناية فائقة، وتُعرض بكل فخر ضمن المقتنيات المرموقة للمتحف اليوناني الروماني بمدينة الإسكندرية.",Greco-Roman Museum,Stele,26
Narmer Palette,لوحة نارمر (صلاية نعرمر),"Overview and Historical Significance 
 Dating back to approximately 3100 BCE, the Narmer Palette is a highly significant ceremonial artifact and a cornerstone of ancient Egyptian history. It is widely considered one of the earliest historical documents in the world, serving as a monumental record of the unification of Upper and Lower Egypt under the rule of King Narmer. Furthermore, it holds immense linguistic importance, as it features some of the earliest known hieroglyphic inscriptions ever discovered.
 Material and Design
 This extraordinary artifact is a shield-shaped cosmetic palette, masterfully carved from a solid piece of dark green siltstone. Measuring approximately 64 centimeters in height, its intricate reliefs and symbolic imagery were not intended for everyday cosmetic use, but rather meticulously crafted to commemorate a defining and victorious moment in the birth of the pharaonic civilization.
 Current Location
 Today, this priceless masterpiece of the Early Dynastic Period is safely preserved and proudly displayed as a foundational artifact of Egyptian history at the Egyptian Museum in Cairo.","نبذة عامة والأهمية التاريخية
 تعود ""لوحة نارمر"" (المعروفة أيضاً بصلاية نارمر) إلى حوالي عام 3100 قبل الميلاد، وتُعد قطعة أثرية احتفالية بالغة الأهمية وحجر الأساس لتاريخ مصر القديمة. تُصنف هذه اللوحة عالمياً كواحدة من أقدم الوثائق التاريخية في العالم، حيث تخلد ذكرى الحدث الأهم وهو توحيد مصر العليا والسفلى تحت حكم الملك ""نارمر"". كما تحمل اللوحة أهمية لغوية وثقافية كبرى لاحتوائها على بعض من أقدم النقوش الهيروغليفية التي تم اكتشافها على الإطلاق.
 الخامات والتصميم
 صُمم هذا الأثر العظيم على هيئة درع استُخدم كلوحة (صلاية) لمزج مستحضرات التجميل، ونُحت ببراعة من حجر الغرين (السلت) الأخضر الداكن. يبلغ ارتفاع اللوحة حوالي 64 سنتيمتراً، ولم تكن نقوشها البارزة المعقدة ورموزها مخصصة للاستخدام اليومي، بل صُنعت خصيصاً لتخليد لحظة حاسمة وانتصار تاريخي مهد لميلاد الحضارة الفرعونية.
 مقر العرض الحالي
 اليوم، تُحفظ هذه التحفة الفنية التي لا تقدر بثمن، والتي تمثل نقطة الانطلاق لعصر الأسرات المبكر، بعناية فائقة وتُعرض بكل فخر كأحد أهم المقتنيات في المتحف المصري بالقاهرة.",The Egyptian Museum,Stele,27
Unknown,غير معروف,Unknown,غير معروف,Unknown,Other,28
Outer Coffin of King Tutankhamun,التابوت الخارجي للملك توت عنخ آمون,"Overview and Scale
 The outermost coffin of Tutankhamun is the largest of the three nested anthropoid (human-shaped) coffins that once held the boy king's mummy. While the innermost coffin is renowned for its solid gold composition, this outer vessel was designed for sheer monumental scale and ultimate divine protection, measuring an impressive 224 centimeters (7.3 feet) in length.
 Materials and Royal Design
 Crafted from durable cedar wood, the coffin is covered with a layer of gesso (plaster) and masterfully finished with radiant gold foil. The design depicts the pharaoh in the guise of Osiris, the god of the afterlife. His arms are crossed over his chest, firmly grasping the sacred royal insignia: the crook and the flail. Uniquely, the coffin features sturdy silver handles that were originally used to lower and lift the heavy lid.
 A Touching Floral Tribute
 Discovered in November 1922 by Howard Carter in the Valley of the Kings, this was the first layer encountered inside the massive stone sarcophagus. When first opened, archaeologists found a small, poignant floral wreath made of olive leaves and cornflowers draped around the vulture and cobra insignia on the king's forehead—a tender, surviving remnant of the young pharaoh's funeral.
 Restoration and Current Location
 Unlike the inner coffins which were moved to Cairo decades ago, the outermost coffin remained inside the king’s tomb in Luxor for nearly a century. In 2019, it was finally transported to the Grand Egyptian Museum (GEM) in Giza for its first-ever comprehensive restoration since its discovery. It is now proudly reunited and displayed alongside the other two coffins, completing the awe-inspiring Tutankhamun collection.","نبذة عامة والحجم الضخم
 يُعد التابوت الخارجي لتوت عنخ آمون هو الأكبر حجماً ضمن مجموعة التوابيت الثلاثة المتداخلة التي اتخذت الشكل الآدمي واحتضنت مومياء الملك الشاب. وفي حين يشتهر التابوت الداخلي بأنه مصنوع من الذهب الخالص، صُمم هذا التابوت الخارجي بحجم ضخم خصيصاً لتوفير أقصى درجات الحماية الإلهية، حيث يبلغ طوله المذهل حوالي 224 سنتيمتراً.
 الخامات والتصميم الملكي
 صُنع التابوت من خشب الأرز المتين المُغطى بطبقة من الجص (الجيسو) ومكسو برقائق الذهب اللامعة. يصور التصميم الفرعون في هيئة الإله ""أوزوريس"" إله العالم الآخر، حيث تتقاطع ذراعاه على صدره ممسكاً بالشارات الملكية المقدسة: صولجان ""الحكا"" والمذبة. والمميز في هذا التابوت أنه تم تزويد غطائه بمقابض فضية قوية كانت تُستخدم لرفعه وإنزاله.
 إكليل الزهور الوداعي
 اكتشف ""هوارد كارتر"" هذا التابوت في نوفمبر 1922، وكان هو الطبقة الأولى التي ظهرت داخل التابوت الحجري الضخم. وعند فتحه لأول مرة، عُثر على إكليل زهور رقيق ومؤثر يتكون من أوراق الزيتون وزهور القنطريون، وُضع حول رمزي النسر وحية الكوبرا على جبهة الملك، ليكون بمثابة أثر عاطفي خالد من مراسم تشييع جنازة الفرعون الشاب.
 الترميم ومقر العرض الحالي
 على عكس التابوتين الآخرين اللذين نُقلا إلى القاهرة منذ عقود، ظل التابوت الخارجي داخل مقبرة الملك في وادي الملوك بالأقصر لقرابة قرن من الزمان. وفي عام 2019، تم نقله أخيراً إلى المتحف المصري الكبير بالجيزة (GEM) لإجراء أول عملية ترميم شاملة له منذ اكتشافه. واليوم، يعُرض التابوت بفخر جنباً إلى جنب مع التابوتين الآخرين لتكتمل بذلك مجموعة الملك توت عنخ آمون المذهلة.",The Grand Egyptian Museum,Statue,29
Colossal Statue of Pharaoh Akhenaten,التمثال الضخم للفرعون أخناتون,"Overview and The Religious Revolution
 This colossal sandstone statue represents King Akhenaten, formerly known as Amenhotep IV, who ruled during the 18th Dynasty (circa 1353–1336 BCE). He is historically renowned for initiating one of the most profound religious revolutions in ancient Egypt, radically shifting the kingdom's worship away from the traditional gods and towards a single deity: the sun disc, Aten.
 The Amarna Art Style
 The sculpture is a striking masterpiece that brilliantly highlights the unique artistic style characteristic of the Amarna Period. Boldly breaking away from idealized pharaonic norms, it features the signature elongated facial structure, narrow eyes, and stylized proportions that Akhenaten introduced to completely redefine royal representation.
 Discovery and Current Location
 Originally standing as an imposing figure in the sprawling Temple of the Aten at Karnak, this monumental piece survived centuries of subsequent attempts to erase the revolutionary pharaoh's legacy. Today, this captivating and highly significant artifact is safely housed and prominently displayed for visitors at the Egyptian Museum in Cairo.","نبذة عامة والثورة الدينية
 يُجسد هذا التمثال الضخم المصنوع من الحجر الرملي الملك ""أخناتون""، المعروف سابقاً باسم ""أمنحتب الرابع""، والذي حكم خلال عصر الأسرة الثامنة عشرة (حوالي 1353-1336 قبل الميلاد). يشتهر هذا الفرعون تاريخياً بقيادته لواحدة من أهم وأكبر الثورات الدينية في مصر القديمة، حيث حول مسار العبادة في المملكة بالكامل نحو إله واحد وهو قرص الشمس ""آتون"".
 طراز العمارنة الفني
 يُعد هذا النحت تحفة فنية تلفت الأنظار، حيث يبرز بوضوح الأسلوب الفني الفريد والمميز لما يُعرف بـ ""عصر العمارنة"". فبعيداً عن الأنماط المثالية والتقليدية للفراعنة، يتميز التمثال باستطالة الوجه، والعيون الضيقة، والنسب الجسدية غير المعتادة التي ابتكرها أخناتون لإعادة صياغة قواعد النحت الملكي.
 الاكتشاف ومقر العرض الحالي
 كان هذا الأثر الضخم ينتصب شامخاً في الأصل داخل معبد ""آتون"" الشاسع في منطقة الكرنك، وقد نجح في الصمود لقرون طويلة رغم كل محاولات طمس إرث هذا الفرعون الاستثنائي. واليوم، يُحفظ هذا التمثال التاريخي الآسر بعناية فائقة ويُعرض بكل فخر أمام الزوار في المتحف المصري بالقاهرة.",The Egyptian Museum,Statue,30
Prince Rahotep and his wife Nofret,الأمير رع حتب وزوجته نفرت,"Overview and Discovery
 These incredibly lifelike statues depict Prince Rahotep and his wife, Nofret, prominent and highly esteemed figures from the Fourth Dynasty of ancient Egypt. This breathtaking painted limestone masterpiece was famously discovered in 1871 by the French archaeologist Albert Auguste Mariette, perfectly preserved within their mastaba tomb at the Meidum archaeological site.
 Artistic Features and Conventions
 The sculpture stands as a brilliant showcase of ancient Egyptian artistic mastery and traditional conventions. The figures are meticulously painted with vivid, remarkably preserved colors. Prince Rahotep is depicted with a reddish-brown skin tone, while Nofret features a pale yellowish-beige tone. This deliberate color distinction strictly adhered to the traditional artistic norms of the Old Kingdom, representing the active, outdoor life of men and the indoor, sheltered life of noble women.
 Current Location
 Having retained their mesmerizing gaze and vibrant colors for over four millennia, these exceptionally rare and captivating original statues are now safely housed and prominently displayed for visitors at the Egyptian Museum in Cairo.","نبذة عامة والاكتشاف
 يصور هذا العمل الفني النابض بالحياة الأمير ""رع حتب"" وزوجته ""نُفرت""، وهما من الشخصيات البارزة والمرموقة في عصر الأسرة الرابعة في مصر القديمة. اكتُشفت هذه التحفة المذهلة المصنوعة من الحجر الجيري الملون في عام 1871 على يد عالم الآثار الفرنسي ""ألبرت أوغست مارييت""، حيث عُثر عليها محفوظة بحالة ممتازة داخل مقبرتهما (المصطبة) في منطقة ميدوم الأثرية.
 السمات الفنية والتقاليد
 يُعد هذا النحت عرضاً عبقرياً للبراعة الفنية والتقاليد الصارمة في مصر القديمة. لُونت التماثيل بعناية فائقة بألوان زاهية ومحفوظة بشكل مذهل؛ حيث صُور الأمير ""رع حتب"" بلون بشرة أحمر مائل للبني، في حين ظهرت ""نُفرت"" بلون بشرة أصفر شاحب. ويُعد هذا التباين اللوني المتعمد تطبيقاً دقيقاً للتقاليد الفنية لعصر الدولة القديمة، والتي كانت تميز بين طبيعة حياة الرجال العملية في الخارج وحياة نساء النبلاء داخل القصور.
 مقر العرض الحالي
 بعد أن احتفظا بنظراتهما الساحرة وألوانهما الزاهية لأكثر من أربعة آلاف عام، يُحفظ هذان التمثالان الأصليان النادران الآن بعناية فائقة، ويُعرضان بكل فخر أمام الزوار في المتحف المصري بالقاهرة.",The Egyptian Museum,Statue,31
Pyramidion of Queen Hatshepsut's Obelisk,قُريميد (قمة) مسلة الملكة حتشبسوت,"Overview and Discovery
 This magnificent red granite pyramidion, or capstone, originally crowned an imposing obelisk erected by the legendary Queen Hatshepsut at the sprawling Karnak Temple Complex. This highly significant architectural artifact was famously discovered in 1861, found resting in the area directly behind King Thutmose III's grand Hall of Festivals.
 Royal Offering and Symbolism
 The intricately carved artifact features a powerful scene depicting the female pharaoh in a devoted kneeling pose. She is portrayed as an offering king presenting sacred gifts before a supreme deity, highly likely Amun-Re. This profound imagery was deliberately designed to further solidify her divine right to rule and showcase her deep religious devotion.
 Current Location
 Once piercing the sky above ancient Thebes to catch the first rays of the sun, this monumental capstone is now safely preserved and proudly displayed as a key highlight for visitors at the Grand Egyptian Museum (GEM) in Giza.","نبذة عامة والاكتشاف
 كانت هذه القمة الهرمية الرائعة (القُريميد) المصنوعة من الجرانيت الأحمر تتوج يوماً ما مسلة ضخمة شيدتها الملكة ""حتشبسوت"" في مجمع معابد الكرنك الشاسع. اكتُشفت هذه القطعة المعمارية والتاريخية البالغة الأهمية في عام 1861، حيث عُثر عليها في المنطقة الواقعة خلف صالة الاحتفالات الكبرى الخاصة بالملك ""تحتمس الثالث"".
 التقدمة الملكية والرمزية
 يتميز هذا الأثر المنحوت بدقة بمشهد قوي يصور الفرعون الأنثى في وضع الركوع التعبدي. وتظهر الملكة في هيئة الحاكم الذي يقدم القرابين أمام معبود عظيم، يُرجح بقوة أنه الإله ""آمون رع""، وهو تجسيد فني صُمم خصيصاً لتعزيز شرعية حكمها وإبراز ارتباطها الإلهي وتقواها العميقة.
 مقر العرض الحالي
 بعد أن كانت هذه القمة الضخمة تعانق سماء مدينة طيبة القديمة لتستقبل أشعة الشمس الأولى، تُحفظ الآن بعناية فائقة وتُعرض بكل فخر كواحدة من القطع الأثرية البارزة والمبهرة لزوار المتحف المصري الكبير بالجيزة (GEM).",The Grand Egyptian Museum,Statue,32
Ramesses II as a child protected by the god Hauron,رمسيس الثاني طفلاً تحت حماية الإله حورون,"Overview and Childhood Representation
 This monumental granite statue dating back to the 19th Dynasty (approximately 1279–1213 BCE) depicts the legendary Pharaoh Ramesses II in a remarkably unique state—as a young child. He is shown unclothed with his finger gently placed to his mouth, beautifully executing the traditional ancient Egyptian artistic convention used for representing childhood and youth.
 Divine Protection and The Visual Rebus
 The young king is depicted under the towering, protective figure of the Canaanite sun god Hauron, manifested in the form of a magnificent falcon. Brilliantly, this sculpture acts as a clever visual rebus, or a three-dimensional hieroglyphic puzzle, directly spelling out the king's own name. The sun disk resting on his head represents ""Ra,"" the figure of the child symbolizes ""mes"" (meaning ""born of""), and the protective falcon completes the intricate royal title.
 Discovery and Current Location
 Originally discovered amidst the ruins of the ancient capital of Tanis, this highly symbolic and masterfully crafted artifact offers a fascinating glimpse into the divine messaging and artistic ingenuity of the pharaohs. Today, this extraordinary piece of ancient history is safely housed and prominently displayed for visitors at the Egyptian Museum in Cairo.","نبذة عامة والتجسيد الطفولي
 يصور هذا التمثال الجرانيتي الضخم، الذي يعود تاريخه إلى عصر الأسرة التاسعة عشرة (حوالي 1279-1213 قبل الميلاد)، الفرعون العظيم ""رمسيس الثاني"" في هيئة فريدة وغير معتادة كطفل صغير. ويظهر الملك عارياً واضعاً إصبعه في فمه، وهو الأسلوب الفني الكلاسيكي والمتعارف عليه في مصر القديمة للتعبير عن مرحلة الطفولة والصبا ببراعة شديدة.
 الحماية الإلهية واللغز البصري
 يُجسد التمثال الملك الشاب وهو يحظى برعاية وحماية الإله الكنعاني ""حورون""، والذي يظهر خلفه في هيئة صقر ضخم. وتكمن العبقرية الفنية الحقيقية لهذه القطعة في كونها تشكل ""لغزاً بصرياً"" أو تجسيداً ثلاثي الأبعاد لاسم الملك نفسه؛ حيث يمثل قرص الشمس فوق رأسه كلمة ""رع""، ويمثل الطفل كلمة ""مس"" (بمعنى وليد أو المولود)، بينما يكمل الصقر المعنى، ليُقرأ التمثال بالكامل كاسم الملك ""رع-مس-سو"".
 الاكتشاف ومقر العرض الحالي
 تم اكتشاف هذا الأثر الرمزي بالغ الأهمية وسط أطلال العاصمة القديمة ""تانيس"" (صان الحجر بمدينة الشرقية)، وهو يقدم دليلاً ملموساً على الابتكار الفني والرسائل الدينية الخفية للفراعنة. واليوم، تُحفظ هذه التحفة الفنية الاستثنائية بعناية فائقة وتُعرض بكل فخر أمام الزوار في المتحف المصري بالقاهرة.",The Egyptian Museum,Statue,33
