Offer ID,Sponsor Name,Title (English),Title (Localized),Description (English),Description (Localized),Terms and Conditions (English) 'NULLABLE',Terms and Conditions (Localized) 'NULLABLE',Discount Amount 'NULLABLE',Discount Percentage 'NULLABLE',Start Validity Period,End Validity Period,Max Redemptions 'NULLABLE',PromoCode 'NULLABLE'
OFFER-053,Egypt Air,Domestic Flight Discount,خصم الرحلات الداخلية,"Book any domestic Egypt Air flight (Cairo–Luxor, Cairo–Aswan, or Cairo–Sharm El Sheikh) through the Rafeeq app and receive 10% off the ticket price.",احجز أي رحلة مصر للطيران الداخلية (القاهرة–الأقصر أو القاهرة–أسوان أو القاهرة–شرم الشيخ) عبر تطبيق رفيق واحصل على خصم 10% من سعر التذكرة.,Valid on Economy Class only. Subject to seat availability. Cannot be combined with other Egypt Air promotions.,صالح على الدرجة الاقتصادية فقط. يخضع لتوافر المقاعد. لا يُدمج مع عروض مصر للطيران الأخرى.,,10%,01/05/2026,31/12/2026,500,RAFEEQAIR10
OFFER-054,Egypt Air,Tourist Explorer Pass Discount,خصم باس المستكشف السياحي,Purchase an Egypt Air multi-city domestic pass (3 flights) and save 500 EGP off the combined ticket price.,اشترِ باس مصر للطيران متعدد المدن الداخلية (3 رحلات) ووفر 500 جنيه من السعر الإجمالي للتذاكر.,Valid for 3-flight domestic pass only. All flights must be booked in a single transaction.,صالح لباس 3 رحلات داخلية فقط. يجب حجز جميع الرحلات في معاملة واحدة.,500,,01/05/2026,31/12/2026,200,AIRPASS500
OFFER-055,Lazib Inn Resort & Spa,Lake Qarun Wellness Retreat,ريتريت العافية على بحيرة قارون,"Book 2 nights or more and receive a complimentary 60-minute spa treatment for two plus a guided felucca ride on Lake Qarun (combined value 1,200 EGP).","احجز ليلتين أو أكثر واحصل على جلسة سبا مجانية لمدة 60 دقيقة لشخصين مع رحلة فلوكة مصحوبة بمرشد على بحيرة قارون (قيمة مدمجة 1,200 جنيه).",Minimum 2-night stay required. Spa and felucca bookings must be arranged through hotel staff. Subject to availability.,يشترط الإقامة ليلتين كحد أدنى. يجب ترتيب السبا والفلوكة عبر موظفي الفندق. يخضع للتوافر.,1200,,01/05/2026,30/09/2026,40,LAZIBSPA1200
OFFER-056,Lazib Inn Resort & Spa,Fayoum Art & Stay Package,باقة فن الفيوم والإقامة,"Stay 1 night and receive a complimentary pottery class at the Fayoum Pottery School for two, arranged by the resort.",أقم ليلة واحدة واحصل على درس فخار مجاني في مدرسة الفيوم للفخار لشخصين ينظمه المنتجع.,Pottery class subject to school schedule and availability. Must be requested at booking.,درس الفخار يخضع لجدول المدرسة وتوافرها. يجب الطلب عند الحجز.,0,,01/05/2026,31/12/2026,80,LAZIBPOTTERY
OFFER-057,Venecia Resort & Spa,Qaroun Lakeview Suite Deal,عرض جناح بإطلالة بحيرة قارون,Book a lake-view suite and enjoy 25% off the standard rate for any midweek stay (Sun–Wed).,احجز جناحاً بإطلالة على البحيرة واستمتع بخصم 25% من السعر العادي لأي إقامة منتصف الأسبوع (الأحد–الأربعاء).,Midweek stays only (Sun–Wed). Subject to suite availability. Non-refundable.,للإقامات منتصف الأسبوع فقط (الأحد–الأربعاء). يخضع لتوافر الأجنحة. غير قابل للاسترداد.,,25%,01/05/2026,31/12/2026,100,VENECIA25
OFFER-058,Venecia Resort & Spa,Couple's Desert Escape,هروب الزوجين الصحراوي,Book our honeymoon or couple's suite for 2 nights and receive a complimentary private sunset dinner on the lakeside terrace (valued at 800 EGP).,احجز جناح شهر العسل أو الأزواج لليلتين واحصل على عشاء غروب خاص مجاني على تراس شاطئ البحيرة (بقيمة 800 جنيه).,Valid for couple's and honeymoon suite categories only. Dinner must be arranged 24 hours in advance.,صالح لفئتَي جناح الأزواج وشهر العسل فقط. يجب ترتيب العشاء قبل 24 ساعة.,800,,01/05/2026,30/09/2026,50,VENECIACOUPLE
OFFER-059,Tache By The Lake,Wadi El Rayan Explorer Package,باقة مستكشف وادي الريان,Book 1 night and receive a complimentary guided 4x4 safari to Wadi El Rayan waterfalls for two guests (valued at 600 EGP).,احجز ليلة واحدة واحصل على سفاري 4x4 مصحوبة بمرشد مجانية إلى شلالات وادي الريان لشخصين (بقيمة 600 جنيه).,Safari subject to weather and guide availability. Must be requested at check-in.,السفاري يخضع للطقس وتوافر المرشد. يجب الطلب عند تسجيل الدخول.,600,,01/05/2026,30/09/2026,80,TACHESAFARI
OFFER-060,Tache By The Lake,Weekday Escape Deal,عرض الهروب منتصف الأسبوع,Enjoy 20% off your room rate for stays booked Sunday through Wednesday.,استمتع بخصم 20% على سعر غرفتك للإقامات المحجوزة من الأحد إلى الأربعاء.,Midweek booking only (Sun–Wed check-in). Non-refundable.,الحجز منتصف الأسبوع فقط (تسجيل دخول الأحد–الأربعاء). غير قابل للاسترداد.,,20%,01/05/2026,31/12/2026,,TACHE20MID
OFFER-061,Kom El Dikka Agri Lodge,Farm-to-Table Dining Experience,تجربة طعام من المزرعة إلى المائدة,Book a farm lunch or dinner for two (minimum spend 400 EGP) and receive a free organic produce basket to take home (valued at 150 EGP).,احجز غداءً أو عشاءً من المزرعة لشخصين (حد أدنى للإنفاق 400 جنيه) واحصل مجاناً على سلة منتجات عضوية تأخذها معك (بقيمة 150 جنيه).,Minimum spend of 400 EGP required. Organic basket subject to seasonal availability.,يشترط إنفاق 400 جنيه كحد أدنى. سلة المنتجات العضوية تخضع للتوافر الموسمي.,150,,01/05/2026,31/12/2026,100,KOMFARM150
OFFER-062,Kom El Dikka Agri Lodge,Agri-Lodge Stay & Pottery,إقامة النزل الزراعي والفخار,Book any accommodation night and receive a complimentary 1-hour pottery introduction class at the on-site workshop.,احجز أي ليلة إقامة واحصل على درس تعريفي مجاني لمدة ساعة في الفخار في الورشة الداخلية.,One pottery session per booking. Session must be arranged with lodge staff upon arrival.,جلسة فخار واحدة لكل حجز. يجب ترتيب الجلسة مع موظفي النزل عند الوصول.,0,,01/05/2026,31/12/2026,120,KOMPOTTERY
OFFER-063,Ibis Restaurant & Cooking School,Farm Cooking Weekend,عطلة نهاية أسبوع الطبخ في المزرعة,Join our 2-day weekend cooking experience with Chef Markus and save 300 EGP off the published per-person price.,انضم إلى تجربة الطبخ على مدار يومين في نهاية الأسبوع مع الشيف ماركوس ووفر 300 جنيه من السعر المنشور للفرد.,Minimum 2 participants required. Full weekend (Fri–Sat) only. Booking must be made at least 1 week in advance.,يشترط مشاركة شخصين كحد أدنى. نهاية أسبوع كاملة (جمعة–سبت) فقط. يجب الحجز قبل أسبوع على الأقل.,300,,01/05/2026,30/09/2026,30,IBISCOOK300
OFFER-064,Ibis Restaurant & Cooking School,Lake View Lunch Special,عرض غداء بإطلالة البحيرة,Dine at Ibis for lunch and enjoy 15% off your food bill on any weekday visit.,تناول الغداء في إيبيس واستمتع بخصم 15% على فاتورة طعامك في أي زيارة أيام الأسبوع.,Valid Sun–Thu only. Dine-in only. Excludes cooking class packages.,ساري الأحد–الخميس فقط. للأكل داخل المطعم فقط. يستثني باقات دروس الطبخ.,,15%,01/05/2026,31/12/2026,,IBISLUNCH15
OFFER-067,Fayoum Hotel Armed Forces,Extended Stay Discount,خصم الإقامة الممتدة,"Stay 3 nights or more and receive 25% off the nightly rate for the entire stay, plus complimentary airport shuttle to Fayoum bus station.",أقم 3 ليالٍ أو أكثر واحصل على خصم 25% من السعر الليلي لكامل الإقامة مع مكوك مجاني إلى محطة حافلات الفيوم.,Minimum 3-night stay required. Shuttle service subject to availability and must be arranged at check-in.,يشترط الإقامة 3 ليالٍ كحد أدنى. خدمة المكوك تخضع للتوافر ويجب ترتيبها عند تسجيل الدخول.,,25%,01/05/2026,31/12/2026,80,ARMED25STAY
OFFER-068,Fayoum Hotel Armed Forces,Breakfast & Tour Bundle,باقة الإفطار والجولة,Book a room with breakfast and add any Fayoum day tour from our front desk at 100 EGP discount off the tour price.,احجز غرفة مع إفطار وأضف أي جولة يوم فيوم من مكتب الاستقبال بخصم 100 جنيه من سعر الجولة.,Tour discount applies to tours booked directly at hotel front desk only. Cannot be combined with other tour discounts.,خصم الجولة ينطبق على الجولات المحجوزة مباشرة من مكتب استقبال الفندق فقط. لا يُدمج مع خصومات جولات أخرى.,100,,01/05/2026,31/12/2026,150,ARMED100TOUR
OFFER-069,Explore Fayoum Tours,Desert Safari & Sandboarding,سفاري الصحراء والتزلج على الرمال,Book our desert safari and sandboarding adventure and receive 20% off when booking for a group of 3 or more.,احجز مغامرة سفاري الصحراء والتزلج على الرمال واحصل على خصم 20% عند الحجز لمجموعة من 3 أشخاص أو أكثر.,Minimum 3 guests per booking. Includes sandboard equipment and 4x4 driver-guide.,حد أدنى 3 ضيوف لكل حجز. يشمل معدات التزلج وسائق مرشد 4x4.,,20%,01/05/2026,31/12/2026,100,REALSAFARI20
OFFER-070,Explore Fayoum Tours,Birdwatching at Lake Qarun,مراقبة الطيور في بحيرة قارون,Book our birdwatching tour at Lake Qarun and receive a 150 EGP discount per person off the standard price.,احجز جولة مراقبة الطيور في بحيرة قارون واحصل على خصم 150 جنيه للفرد من السعر العادي.,Minimum 2 guests. Binoculars provided. Best Nov–Mar for migratory birds.,حد أدنى شخصان. المناظير متوفرة. الأفضل من نوفمبر إلى مارس لمشاهدة الطيور المهاجرة.,150,,01/05/2026,31/12/2026,80,REALBIRD150
OFFER-071,Wadi El Rayan Safari Camp,Overnight Desert Glamping,تخييم فاخر في الصحراء لليلة,Book an overnight glamping tent with dinner and breakfast included and save 300 EGP off the standard per-person rate.,احجز خيمة تخييم فاخر لليلة مع العشاء والإفطار وفر 300 جنيه من السعر العادي للفرد.,"Includes dinner, breakfast, and 1 sunset 4x4 dune ride. Minimum 2 guests per tent. Subject to weather conditions.",يشمل العشاء والإفطار وجولة كثبان 4x4 عند الغروب. حد أدنى شخصان لكل خيمة. يخضع لأحوال الطقس.,300,,01/05/2026,30/09/2026,50,RAYAN300CAMP
OFFER-072,Wadi El Rayan Safari Camp,Waterfall Day Adventure,مغامرة يوم الشلالات,Book our Wadi El Rayan waterfall day trip (sandboarding + boat ride + picnic lunch) and get 20% off for groups of 4 or more.,احجز رحلة يوم شلالات وادي الريان (تزلج على رمال + رحلة بالقارب + غداء بيكنيك) واحصل على خصم 20% لمجموعات من 4 أشخاص أو أكثر.,"Minimum 4 guests for group discount. Includes sandboard, boat, and picnic lunch. Excludes park entry fees.",حد أدنى 4 ضيوف للخصم الجماعي. يشمل التزلج والقارب وغداء البيكنيك. لا يشمل رسوم دخول المنتزه.,,20%,01/05/2026,31/12/2026,80,RAYANFALL20
OFFER-073,Trianon Cafe,Heritage Afternoon Discount,خصم جلسة العصر التراثية,Get 20% off all beverages and pastries during afternoon hours (2 PM – 6 PM).,احصل على خصم 20% على جميع المشروبات والمعجنات خلال ساعات العصر (2 م – 6 م).,"Valid Sun–Thu, 2 PM to 6 PM only. Not valid on public holidays.",ساري الأحد إلى الخميس، من 2 م إلى 6 م فقط. غير ساري في أيام العطل الرسمية.,,20%,01/05/2026,30/09/2026,500,TRIANON20
OFFER-074,Trianon Cafe,Classic Breakfast Deal,عرض الإفطار الكلاسيكي,Enjoy a free hot drink with any full breakfast order at Trianon's iconic Raml Station branch.,استمتع بمشروب ساخن مجاني مع أي طلب إفطار كامل في فرع محطة الرمل الشهير.,One free drink per table per visit. Valid for dine-in only.,مشروب واحد مجاني لكل طاولة في كل زيارة. ساري للجلوس داخل المطعم فقط.,,20%,01/05/2026,31/12/2026,400,TRIANON-BRK
OFFER-075,Delices Patisserie,Sweet Treat Bundle,باقة الحلويات المميزة,Buy any 3 pastries or dessert items and get the 4th one free.,اشترِ أي 3 قطع من المعجنات أو الحلويات واحصل على القطعة الرابعة مجاناً.,Items must be of equal or lesser value. Valid for takeaway and dine-in.,يجب أن تكون العناصر بقيمة مساوية أو أقل. ساري للتيك أواي والجلوس.,,25%,01/05/2026,30/09/2026,600,DELICES4FREE
OFFER-076,Delices Patisserie,Café & Cake Combo,كومبو القهوة والكيكة,Enjoy 15% off when you order any hot or cold drink paired with a dessert item.,احصل على خصم 15% عند طلب أي مشروب ساخن أو بارد مع أي قطعة حلوى.,,,,15%,15/05/2026,15/10/2026,800,DLCS-COMBO
OFFER-077,Mohamed Ahmed Restaurant,Foul & Falafel Feast,وليمة الفول والفلافل,Get 10% off your total bill on any order that includes our signature foul or falafel dishes.,احصل على خصم 10% على إجمالي فاتورتك عند طلب أي وجبة تشمل الفول أو الفلافل المميزة.,Valid for dine-in only. Cannot be combined with any other offer or promotion.,ساري للجلوس داخل المطعم فقط. لا يمكن دمجه مع أي عرض أو ترويج آخر.,,10%,01/05/2026,31/12/2026,1000,MHMD-FF
OFFER-078,Mohamed Ahmed Restaurant,Family Breakfast Saver,توفير إفطار العائلة,Groups of 4 or more get 15% off the total bill on any breakfast order.,مجموعات 4 أشخاص أو أكثر تحصل على خصم 15% على إجمالي الفاتورة عند طلب الإفطار.,Minimum 4 guests per table. Valid 6 AM – 11 AM only.,الحد الأدنى 4 ضيوف لكل طاولة. ساري من 6 ص حتى 11 ص فقط.,,15%,01/05/2026,30/09/2026,400,MHMD-FAM
OFFER-079,Greek Club Restaurant,Seafood Night Offer,عرض ليلة المأكولات البحرية,Enjoy 20% off on all seafood mains every Tuesday and Wednesday evening.,استمتع بخصم 20% على جميع الأطباق الرئيسية من المأكولات البحرية كل مساء الثلاثاء والأربعاء.,"Valid Tue & Wed, 6 PM onwards. Dine-in only. Subject to availability.",ساري الثلاثاء والأربعاء من 6 م فصاعداً. للجلوس فقط. حسب التوفر.,,20%,01/05/2026,30/09/2026,300,GREEK-SEA
OFFER-080,Greek Club Restaurant,Nile View Lunch Special,عرض غداء مع إطلالة بحرية,15% off all lunch orders placed between 12 PM and 4 PM from Saturday to Thursday.,خصم 15% على جميع طلبات الغداء من 12 م إلى 4 م من السبت إلى الخميس.,Dine-in only. Not valid on public holidays or special events.,للجلوس فقط. غير ساري أيام العطل الرسمية أو الفعاليات الخاصة.,,15%,15/05/2026,15/10/2026,350,GREEK-LUNCH
OFFER-081,Stefano's Restaurant,Fine Dining Date Night,عشاء رومانسي فاخر,"Couples dining at Stefano's receive 15% off the total bill, available every Thursday and Friday evening.",الأزواج الذين يتناولون العشاء في ستيفانوز يحصلون على خصم 15% على إجمالي الفاتورة، متاح كل مساء الخميس والجمعة.,Valid for 2 guests dining together. Dine-in only. Reservation recommended.,ساري لضيفين يتناولان الطعام معاً. للجلوس فقط. يُنصح بالحجز المسبق.,,15%,01/05/2026,31/12/2026,200,STEF-DATE
OFFER-082,Stefano's Restaurant,Truffle & Wine Lunch,غداء الكمأة والنبيذ,Enjoy a complimentary dessert with any 2-course lunch order (starter + main).,استمتع بحلوى مجانية مع أي طلب غداء من طبقين (مقبلات + الطبق الرئيسي).,Valid for lunch hours only (12 PM – 4 PM). Dine-in only. Dessert selection subject to availability.,ساري في ساعات الغداء فقط (12 م – 4 م). للجلوس فقط. اختيار الحلوى حسب التوفر.,,15%,01/08/2026,31/10/2026,150,STEF-LUNCH
OFFER-083,Four Seasons Hotel Alexandria,Luxury Stay Discount,خصم الإقامة الفاخرة,"Book a minimum 2-night stay and enjoy 15% off the room rate, plus complimentary late checkout until 2 PM.",احجز إقامة لمدة ليلتين على الأقل واستمتع بخصم 15% على سعر الغرفة مع تأخير مجاني في المغادرة حتى 2 م.,Valid for new bookings only. Cannot be combined with other promotions. Subject to availability.,ساري للحجوزات الجديدة فقط. لا يمكن دمجه مع عروض أخرى. حسب التوفر.,,15%,01/05/2026,30/09/2026,100,4S-STAY15
OFFER-084,Four Seasons Hotel Alexandria,Spa & Stay Package,باقة السبا والإقامة,Get 20% off spa treatments when booked alongside any room reservation of 1 night or more.,احصل على خصم 20% على علاجات السبا عند حجزها مع أي حجز غرفة لليلة واحدة أو أكثر.,Spa booking must be made at time of room reservation. Subject to spa availability.,يجب حجز السبا عند إجراء حجز الغرفة. حسب توفر السبا.,,20%,15/05/2026,15/10/2026,80,4S-SPA20
OFFER-085,Four Seasons Hotel Alexandria,Beachfront Dining Offer,عرض العشاء على الشاطئ,Enjoy 10% off at the hotel's beachfront restaurant for non-staying guests with advance reservation.,استمتع بخصم 10% في مطعم الفندق على الشاطئ للضيوف غير المقيمين مع حجز مسبق.,Advance reservation required. Valid for dinner service only (6 PM – 11 PM).,الحجز المسبق إلزامي. ساري لخدمة العشاء فقط (6 م – 11 م).,,10%,01/05/2026,31/12/2026,200,4S-BEACH
OFFER-086,Sheraton Alexandria Hotel,Weekend Getaway,عطلة نهاية الأسبوع,Book a Friday–Saturday stay and receive 20% off plus a complimentary breakfast for two.,احجز إقامة الجمعة–السبت واحصل على خصم 20% مع إفطار مجاني لشخصين.,Valid for Friday and Saturday nights only. Breakfast for 2 guests included. Subject to availability.,ساري ليالي الجمعة والسبت فقط. الإفطار مشمول لضيفين. حسب التوفر.,,20%,01/05/2026,30/09/2026,120,SHER-ALEX-WE
OFFER-087,Sheraton Alexandria Hotel,Business Traveler Rate,سعر رجل الأعمال,"Corporate guests enjoy 15% off room rates on weekday stays (Sunday–Thursday), including access to the business lounge.",يستمتع ضيوف الأعمال بخصم 15% على أسعار الغرف أيام الأسبوع (الأحد–الخميس) مع دخول مجاني لصالة الأعمال.,Valid Sun–Thu only. Must present company ID or business card at check-in.,ساري الأحد–الخميس فقط. يجب تقديم بطاقة الشركة أو بطاقة العمل عند تسجيل الوصول.,,15%,01/05/2026,31/12/2026,150,SHER-BIZ
OFFER-088,Hilton Alexandria Corniche,Sea View Room Upgrade,ترقية غرفة بإطلالة بحرية,"Book any standard room and receive a complimentary upgrade to a sea view room, subject to availability, plus 10% off dining at the hotel restaurant.",احجز أي غرفة عادية واحصل على ترقية مجانية لغرفة بإطلالة بحرية حسب التوفر، بالإضافة إلى خصم 10% على الطعام في مطعم الفندق.,Upgrade subject to availability at check-in. Dining discount valid during stay only.,الترقية حسب التوفر عند تسجيل الوصول. خصم الطعام ساري خلال الإقامة فقط.,,10%,01/05/2026,30/09/2026,100,HLTN-VIEW
OFFER-089,Hilton Alexandria Corniche,Beach Club Day Pass,تصريح يومي لنادي الشاطئ,"Non-staying guests can purchase a beach club day pass at 20% off, including access to the pool and private beach.",يمكن للضيوف غير المقيمين شراء تصريح يومي لنادي الشاطئ بخصم 20%، يشمل الوصول إلى المسبح والشاطئ الخاص.,Valid for non-staying guests only. Must be purchased in advance. Not valid on Egyptian public holidays.,ساري للضيوف غير المقيمين فقط. يجب الشراء مسبقاً. غير ساري في العطل الرسمية المصرية.,,20%,15/05/2026,15/09/2026,250,HLTN-BEACH
OFFER-090,Windsor Palace Hotel,Historic Stay Special,عرض الإقامة التاريخية,"Stay 2 nights and get the 3rd night at 50% off, while enjoying the iconic rooftop Skyroof lounge access.",أقم ليلتين واحصل على الليلة الثالثة بخصم 50%، مع دخول مجاني لصالة سكاي روف على السطح الشهيرة.,Nights must be consecutive. Skyroof access subject to operating hours and minimum spend.,الليالي يجب أن تكون متتالية. دخول سكاي روف حسب ساعات العمل والحد الأدنى للإنفاق.,,50%,01/05/2026,31/12/2026,80,WNDS-3RD
OFFER-091,Windsor Palace Hotel,Rooftop Dining Offer,عرض العشاء على السطح,Enjoy 15% off your total food and beverage bill at the Skyroof Lounge with any hotel room booking.,استمتع بخصم 15% على إجمالي فاتورة الطعام والمشروبات في سكاي روف مع أي حجز لغرفة فندقية.,Valid for hotel guests only during their stay. Dine-in at Skyroof only.,ساري لضيوف الفندق فقط خلال إقامتهم. للجلوس في سكاي روف فقط.,,15%,01/05/2026,31/12/2026,200,WNDS-ROOF
OFFER-092,Montazah Beach Club,Summer Beach Pass,تصريح شاطئ الصيف,Get 25% off day passes to Montazah Beach Club for groups of 3 or more.,احصل على خصم 25% على تصاريح اليوم لنادي شاطئ المنتزه لمجموعات من 3 أشخاص أو أكثر.,Minimum group size of 3. Valid July–September only. Not valid on Fridays and public holidays.,الحد الأدنى للمجموعة 3 أشخاص. ساري يوليو–سبتمبر فقط. غير ساري أيام الجمعة والعطل الرسمية.,,25%,01/05/2026,30/09/2026,500,MONT-GRP
OFFER-093,Montazah Beach Club,Early Bird Pass,تصريح الباكر,Purchase your beach pass before 10 AM and enjoy 20% off the standard day pass rate.,اشترِ تصريح الشاطئ قبل 10 ص واستمتع بخصم 20% على سعر تصريح اليوم العادي.,Valid for entry before 10 AM only. Non-transferable.,ساري للدخول قبل 10 ص فقط. غير قابل للتحويل.,,20%,01/05/2026,31/08/2026,600,MONT-EARLY
OFFER-094,Sky Roof Lounge,Sunset Cocktail Hour,ساعة كوكتيل الغروب,Enjoy 20% off all beverages ordered between 6 PM and 8 PM while watching the Alexandria sunset skyline.,استمتع بخصم 20% على جميع المشروبات المطلوبة بين 6 م و8 م أثناء مشاهدة أفق غروب الإسكندرية.,Valid Sun–Thu only. Minimum spend of EGP 200 per person applies.,ساري الأحد–الخميس فقط. يُطبق حد أدنى للإنفاق 200 جنيه للشخص.,,20%,01/05/2026,30/09/2026,400,SKY-SUNS
OFFER-095,Sky Roof Lounge,Table Reservation Bonus,مكافأة حجز الطاولة,Pre-book a table for 4 or more and receive 15% off your total food and beverage bill.,احجز طاولة لـ4 أشخاص أو أكثر مسبقاً واحصل على خصم 15% على إجمالي فاتورة الطعام والمشروبات.,Advance reservation required at least 24 hours prior. Valid for groups of 4+.,الحجز المسبق مطلوب قبل 24 ساعة على الأقل. ساري لمجموعات 4 أشخاص فأكثر.,,15%,01/05/2026,31/12/2026,300,SKY-TABLE
OFFER-096,Kadmar Travel Egypt,Visa Application Discount,خصم طلب التأشيرة,Get EGP 150 off the service fee on any Schengen or international visa application processed through Kadmar Travel.,احصل على خصم 150 جنيه على رسوم الخدمة لأي طلب تأشيرة شنغن أو دولية تتم معالجتها عبر كادمار ترافيل.,Valid for new visa applications only. Service fee discount does not include embassy or consulate fees.,ساري للطلبات الجديدة فقط. خصم رسوم الخدمة لا يشمل رسوم السفارة أو القنصلية.,150,,01/05/2026,31/12/2026,200,KADMAR-VISA
OFFER-097,Kadmar Travel Egypt,Group Tour Package Deal,عرض باقة الرحلات الجماعية,Groups of 6 or more booking any tour package receive 10% off the total package price.,المجموعات المكونة من 6 أشخاص أو أكثر التي تحجز أي باقة سياحية تحصل على خصم 10% على السعر الإجمالي للباقة.,"Minimum 6 passengers per booking. Discount applied to land arrangements only, excluding flights.",الحد الأدنى 6 ركاب لكل حجز. الخصم يُطبق على الترتيبات البرية فقط، باستثناء الرحلات الجوية.,,10%,01/05/2026,30/09/2026,50,KADMAR-GRP
OFFER-098,Alex City Travel,Alexandria Day Tour Discount,خصم جولة الإسكندرية اليومية,Book any Alexandria city day tour and receive 15% off the per-person rate.,احجز أي جولة يومية بالإسكندرية واحصل على خصم 15% على سعر الفرد.,Minimum 2 passengers. Advance booking required at least 48 hours prior to tour date.,الحد الأدنى راكبان. الحجز المسبق مطلوب قبل 48 ساعة على الأقل من تاريخ الجولة.,,15%,01/05/2026,31/12/2026,150,ALEX-DAY
OFFER-099,Alex City Travel,Airport Transfer Offer,عرض النقل من المطار,Book a round-trip airport transfer through Alex City Travel and get EGP 100 off the total price.,احجز نقل ذهاباً وإياباً من المطار عبر أليكس سيتي ترافيل واحصل على خصم 100 جنيه على السعر الإجمالي.,Valid for Alexandria Borg El Arab Airport only. Must be booked at least 24 hours in advance.,ساري لمطار الإسكندرية برج العرب فقط. يجب الحجز قبل 24 ساعة على الأقل.,100,,01/05/2026,31/12/2026,200,ALEX-XFER
OFFER-100,Round Trip Travel Tours,Honeymoon Package Offer,عرض باقة شهر العسل,Newlyweds booking any honeymoon package receive 15% off plus a complimentary room upgrade where available.,يحصل حديثو الزواج الذين يحجزون أي باقة شهر عسل على خصم 15% بالإضافة إلى ترقية مجانية للغرفة عند التوفر.,Proof of recent marriage required (within 3 months). Subject to hotel availability.,يجب تقديم ما يثبت حداثة الزواج (خلال 3 أشهر). حسب توفر الفندق.,,15%,01/05/2026,31/12/2026,60,RT-HONEY
OFFER-101,Round Trip Travel Tours,Early Booking Reward,مكافأة الحجز المبكر,Book any international travel package at least 60 days in advance and receive 10% off the total package price.,احجز أي باقة سفر دولية قبل 60 يوماً على الأقل واحصل على خصم 10% على السعر الإجمالي.,Booking must be confirmed and deposited at least 60 days before departure.,يجب تأكيد الحجز ودفع العربون قبل 60 يوماً على الأقل من تاريخ المغادرة.,,10%,01/05/2026,30/09/2026,100,RT-EARLY
OFFER-102,RTS El-Raghy Travel Services,Flight Ticket Discount,خصم تذكرة الطيران,Get EGP 200 off on any international flight ticket booked through RTS El-Raghy Travel Services.,احصل على خصم 200 جنيه على أي تذكرة طيران دولية محجوزة عبر آر تي إس الراغي لخدمات السفر.,"Valid for international tickets only. Discount applied per booking, not per passenger.",ساري للتذاكر الدولية فقط. الخصم يُطبق لكل حجز وليس لكل راكب.,200,,01/05/2026,31/12/2026,300,RTS-FLT
OFFER-103,RTS El-Raghy Travel Services,Nile Cruise Package Deal,عرض باقة رحلة النيل,Book any Nile cruise package and enjoy 12% off the total price for bookings of 2 passengers or more.,احجز أي باقة رحلة نيلية واستمتع بخصم 12% على السعر الإجمالي لحجوزات راكبين أو أكثر.,Minimum 2 passengers. Full payment required at time of booking.,الحد الأدنى راكبان. الدفع الكامل مطلوب عند الحجز.,,12%,01/05/2026,30/09/2026,80,RTS-NILE
OFFER-104,SEA Lounge San Stefano,Mediterranean Brunch Deal,عرض برانش البحر الأبيض المتوسط,Enjoy 20% off our weekend brunch menu every Friday and Saturday at SEA Lounge San Stefano.,استمتع بخصم 20% على قائمة برانش عطلة نهاية الأسبوع كل جمعة وسبت في سي لاونج سان ستيفانو.,"Valid Fri & Sat, brunch hours only (10 AM – 3 PM). Dine-in only.",ساري الجمعة والسبت، ساعات البرانش فقط (10 ص – 3 م). للجلوس فقط.,,20%,01/05/2026,30/09/2026,300,SEA-BRUNCH
OFFER-105,SEA Lounge San Stefano,Sunset Dining Experience,تجربة العشاء عند الغروب,Get 15% off your total bill when dining between 6 PM and 8 PM at our sea-facing lounge.,احصل على خصم 15% على إجمالي فاتورتك عند تناول الطعام بين 6 م و8 م في صالتنا المطلة على البحر.,Valid Sun–Thu only. Minimum spend of EGP 300 per person required.,ساري الأحد–الخميس فقط. حد أدنى للإنفاق 300 جنيه للشخص.,,15%,01/05/2026,31/12/2026,250,SEA-SUNST
OFFER-106,Cascada Cafe & Restaurant,Loyalty Lunch Discount,خصم غداء الولاء,"Enjoy 15% off any lunch order placed between 12 PM and 4 PM, every day of the week.",استمتع بخصم 15% على أي طلب غداء بين 12 م و4 م، كل أيام الأسبوع.,,,,15%,01/05/2026,31/12/2026,500,CSCD-LUNCH
OFFER-107,Cascada Cafe & Restaurant,Coffee & Dessert Combo,كومبو القهوة والحلوى,Order any hot or cold coffee drink and receive 25% off any dessert item.,اطلب أي مشروب قهوة ساخن أو بارد واحصل على خصم 25% على أي قطعة حلوى.,One dessert discount per person per visit.,خصم حلوى واحدة للشخص في كل زيارة.,,25%,15/05/2026,15/10/2026,700,CSCD-COFF
OFFER-108,Wings Tours & Nile Cruises,Nile Cruise Early Bird,حجز رحلة النيل المبكر,Book your Nile cruise at least 45 days in advance and enjoy 15% off the standard per-person rate.,احجز رحلتك النيلية قبل 45 يوماً على الأقل واستمتع بخصم 15% على السعر العادي للفرد.,Early booking discount applies to cabin price only. Not valid during peak season (Dec 20 – Jan 10).,خصم الحجز المبكر ينطبق على سعر الكابينة فقط. غير ساري خلال موسم الذروة (20 ديسمبر – 10 يناير).,,15%,01/05/2026,30/11/2026,100,WINGS-NILE
